company,description,category,review_id,stars,title,review
"ruffandtumbledogcoats.com","At Ruff and Tumble we are proud to be the market leaders in Dog Drying Coats.

Our high-quality, super-absorbent, double thickness soft cotton towelling drying rugs, with their unique, practical yet stylish design, is what sets us apart from other brands. Everything we make at Ruff and Tumble is designed with dogs and their owners in mind. Our Dog Drying Robes, Mitts, Bed Covers and Sofa Throws are the ultimate solution for managing wet dogs. Designed with care, and made from top quality cotton towelling, the Ruff and Tumble range is simply essential for dog owners everywhere.","Animals & Pets",0,5,"Great quality dog drying robe although…","Great quality dog drying robe although had to wait a while for it to come back into stock"
"ruffandtumbledogcoats.com","At Ruff and Tumble we are proud to be the market leaders in Dog Drying Coats.

Our high-quality, super-absorbent, double thickness soft cotton towelling drying rugs, with their unique, practical yet stylish design, is what sets us apart from other brands. Everything we make at Ruff and Tumble is designed with dogs and their owners in mind. Our Dog Drying Robes, Mitts, Bed Covers and Sofa Throws are the ultimate solution for managing wet dogs. Designed with care, and made from top quality cotton towelling, the Ruff and Tumble range is simply essential for dog owners everywhere.","Animals & Pets",1,5,"Really prompt service","Really prompt service, The sofa covers have not moved since being put on despite the efforts of three cocker spaniels!Helpful staff who delayed delivery on request because I would be away for delivery. "
"ruffandtumbledogcoats.com","At Ruff and Tumble we are proud to be the market leaders in Dog Drying Coats.

Our high-quality, super-absorbent, double thickness soft cotton towelling drying rugs, with their unique, practical yet stylish design, is what sets us apart from other brands. Everything we make at Ruff and Tumble is designed with dogs and their owners in mind. Our Dog Drying Robes, Mitts, Bed Covers and Sofa Throws are the ultimate solution for managing wet dogs. Designed with care, and made from top quality cotton towelling, the Ruff and Tumble range is simply essential for dog owners everywhere.","Animals & Pets",2,5,"Life saver","I’ve purchased first of those coats in May2020. Still goes strong although my girl is not with us anymore her little sister is still using it. I’ve bought a limited edition this year as a Christmas gift for my current dog so she has also one of her own.My dog is notorious at rolling so needs to be washed pretty much every day. Those coats are a life saver. Dry dog and no shivering within 20 min. So glad I’ve found the brand. Highly recommend it for any dog parent. "
"ruffandtumbledogcoats.com","At Ruff and Tumble we are proud to be the market leaders in Dog Drying Coats.

Our high-quality, super-absorbent, double thickness soft cotton towelling drying rugs, with their unique, practical yet stylish design, is what sets us apart from other brands. Everything we make at Ruff and Tumble is designed with dogs and their owners in mind. Our Dog Drying Robes, Mitts, Bed Covers and Sofa Throws are the ultimate solution for managing wet dogs. Designed with care, and made from top quality cotton towelling, the Ruff and Tumble range is simply essential for dog owners everywhere.","Animals & Pets",3,5,"Brilliant coats","Brilliant coats. Really like the limited edition raspberry and chocolate colour combo. Do a great job of warming and drying cold, wet, tired dogs after a day on the shoot. Generously sized and do take a while to dry once off the dog, but overall very happy. 😃 "
"ruffandtumbledogcoats.com","At Ruff and Tumble we are proud to be the market leaders in Dog Drying Coats.

Our high-quality, super-absorbent, double thickness soft cotton towelling drying rugs, with their unique, practical yet stylish design, is what sets us apart from other brands. Everything we make at Ruff and Tumble is designed with dogs and their owners in mind. Our Dog Drying Robes, Mitts, Bed Covers and Sofa Throws are the ultimate solution for managing wet dogs. Designed with care, and made from top quality cotton towelling, the Ruff and Tumble range is simply essential for dog owners everywhere.","Animals & Pets",4,5,"Great company and products","Great company and products. This is my 3rd drying robe, amazed how quickly my dog drys when wearing these robes. Excellent quality products, quick delivery. "
"ruffandtumbledogcoats.com","At Ruff and Tumble we are proud to be the market leaders in Dog Drying Coats.

Our high-quality, super-absorbent, double thickness soft cotton towelling drying rugs, with their unique, practical yet stylish design, is what sets us apart from other brands. Everything we make at Ruff and Tumble is designed with dogs and their owners in mind. Our Dog Drying Robes, Mitts, Bed Covers and Sofa Throws are the ultimate solution for managing wet dogs. Designed with care, and made from top quality cotton towelling, the Ruff and Tumble range is simply essential for dog owners everywhere.","Animals & Pets",5,5,"Excellent good quality products","Excellent good quality products. Found exactly what I was looking for. Delivery was speedy and was kept informed of delivery progress. Will definitely buy from them again"
"ruffandtumbledogcoats.com","At Ruff and Tumble we are proud to be the market leaders in Dog Drying Coats.

Our high-quality, super-absorbent, double thickness soft cotton towelling drying rugs, with their unique, practical yet stylish design, is what sets us apart from other brands. Everything we make at Ruff and Tumble is designed with dogs and their owners in mind. Our Dog Drying Robes, Mitts, Bed Covers and Sofa Throws are the ultimate solution for managing wet dogs. Designed with care, and made from top quality cotton towelling, the Ruff and Tumble range is simply essential for dog owners everywhere.","Animals & Pets",6,5,"Worth the Money","Worth the MoneyA bit more expensive than I would usually pay but well worth the money and my pup loves being wrapped up in this cosy dog coat to get dry and her coat is so soft and fluffy afterwards!"
"ruffandtumbledogcoats.com","At Ruff and Tumble we are proud to be the market leaders in Dog Drying Coats.

Our high-quality, super-absorbent, double thickness soft cotton towelling drying rugs, with their unique, practical yet stylish design, is what sets us apart from other brands. Everything we make at Ruff and Tumble is designed with dogs and their owners in mind. Our Dog Drying Robes, Mitts, Bed Covers and Sofa Throws are the ultimate solution for managing wet dogs. Designed with care, and made from top quality cotton towelling, the Ruff and Tumble range is simply essential for dog owners everywhere.","Animals & Pets",7,5,"4th purchase of brilliant coat","This is the 4th purchase, not because anything was wrong but puppies grow and then the older boy can’t be outdone by the new puppy so he needed a new one as well 😂These drying coats are fantastic, warm, thick, wash brilliantly and look great. Once on, they are spaniel proof Would highly recommend "
"ruffandtumbledogcoats.com","At Ruff and Tumble we are proud to be the market leaders in Dog Drying Coats.

Our high-quality, super-absorbent, double thickness soft cotton towelling drying rugs, with their unique, practical yet stylish design, is what sets us apart from other brands. Everything we make at Ruff and Tumble is designed with dogs and their owners in mind. Our Dog Drying Robes, Mitts, Bed Covers and Sofa Throws are the ultimate solution for managing wet dogs. Designed with care, and made from top quality cotton towelling, the Ruff and Tumble range is simply essential for dog owners everywhere.","Animals & Pets",8,5,"High quality ","Well, nothing else but just GREAT. In love with all the products, high quality standard. 2019 my first drying coat for my working Lab, still doing  a perfect job, Recently I purchased the crate mat and customized the size for my car crate, fits simply perfectly and my Lab loves it. Have now purchased also the bed cover, and honestly I would buy every single item on the website. Shipment really fast.Greetings from Italy "
"ruffandtumbledogcoats.com","At Ruff and Tumble we are proud to be the market leaders in Dog Drying Coats.

Our high-quality, super-absorbent, double thickness soft cotton towelling drying rugs, with their unique, practical yet stylish design, is what sets us apart from other brands. Everything we make at Ruff and Tumble is designed with dogs and their owners in mind. Our Dog Drying Robes, Mitts, Bed Covers and Sofa Throws are the ultimate solution for managing wet dogs. Designed with care, and made from top quality cotton towelling, the Ruff and Tumble range is simply essential for dog owners everywhere.","Animals & Pets",9,5,"I have had several of you items and…","I have had several of you items and each one is excellent well made a lastsSo will continue using you items and let other know"
