company,description,category,review_id,stars,title,review
"witchcasket.co.uk","Magickal monthly subscription box! Curated by witches, for witches 🌙✨ 
We ship our monthly witchcraft subscription boxes worldwide! 🌍
 
About
Witch Casket – a family run magickal monthly subscription service, started by a mother and daughter dedicated to bringing a little magick into the lives of others!

Our Mission
Our mission when we launched Witch Casket was to reach witches worldwide…and we are proud to say we have now shipped our magickal witchcraft subscription boxes to subscribers in over 60 countries! It warms our heart to know that there are so many magickal people across the globe! 🌎

Each monthly Witch Casket is carefully curated and packaged with love and care. And we package our branded boxes in simple, unbranded mailing bags for those who wish to keep things private! 💗🌿

As vegans who care about Mother Earth, we are proud to say the following:
•   All products are ethically sourced.
•   All products are vegan-friendly and cruelty-free.
•   We avoid single-use plastics when sourcing our products.
•   We only use biodegradable mailers and compostable packing peanuts.
•   We plant one tree for each Casket sold.


 Subscribe 
  View Past Caskets 
  Learn More ","Hobbies & Crafts",4182,5,"The items received from the Witch…","The items received from the Witch Casket box are magical. Information that helps you understand different areas of magick. They put a lot of time & effort into every box. Witches that help Witches make the world of magick go around. Love & Light to all. "
"witchcasket.co.uk","Magickal monthly subscription box! Curated by witches, for witches 🌙✨ 
We ship our monthly witchcraft subscription boxes worldwide! 🌍
 
About
Witch Casket – a family run magickal monthly subscription service, started by a mother and daughter dedicated to bringing a little magick into the lives of others!

Our Mission
Our mission when we launched Witch Casket was to reach witches worldwide…and we are proud to say we have now shipped our magickal witchcraft subscription boxes to subscribers in over 60 countries! It warms our heart to know that there are so many magickal people across the globe! 🌎

Each monthly Witch Casket is carefully curated and packaged with love and care. And we package our branded boxes in simple, unbranded mailing bags for those who wish to keep things private! 💗🌿

As vegans who care about Mother Earth, we are proud to say the following:
•   All products are ethically sourced.
•   All products are vegan-friendly and cruelty-free.
•   We avoid single-use plastics when sourcing our products.
•   We only use biodegradable mailers and compostable packing peanuts.
•   We plant one tree for each Casket sold.


 Subscribe 
  View Past Caskets 
  Learn More ","Hobbies & Crafts",4183,5,"Excellent gift to yourself! ","I’ve been a subscriber for a few months now and this is a truly special monthly piece of self care and enjoyment. You can tell the team behind Witch Casket thoughtfully compile each box to ensure maximum value for money as well as ensuring a consistent theme and enjoyable box of treasures for their subscribers. It’s amazing that this is a small business - their professionalism and customer care is impressive. Highly recommend this for those exploring craft or wanting a little gift-to-self each month. "
"witchcasket.co.uk","Magickal monthly subscription box! Curated by witches, for witches 🌙✨ 
We ship our monthly witchcraft subscription boxes worldwide! 🌍
 
About
Witch Casket – a family run magickal monthly subscription service, started by a mother and daughter dedicated to bringing a little magick into the lives of others!

Our Mission
Our mission when we launched Witch Casket was to reach witches worldwide…and we are proud to say we have now shipped our magickal witchcraft subscription boxes to subscribers in over 60 countries! It warms our heart to know that there are so many magickal people across the globe! 🌎

Each monthly Witch Casket is carefully curated and packaged with love and care. And we package our branded boxes in simple, unbranded mailing bags for those who wish to keep things private! 💗🌿

As vegans who care about Mother Earth, we are proud to say the following:
•   All products are ethically sourced.
•   All products are vegan-friendly and cruelty-free.
•   We avoid single-use plastics when sourcing our products.
•   We only use biodegradable mailers and compostable packing peanuts.
•   We plant one tree for each Casket sold.


 Subscribe 
  View Past Caskets 
  Learn More ","Hobbies & Crafts",4184,5,"Beautifully designed and wonderfully magical","I absolutely love everything about this month’s Witch Casket! It is beautifully designed and had so much more than I expected. I can’t wait to get started on getting back to my witchy roots."
"witchcasket.co.uk","Magickal monthly subscription box! Curated by witches, for witches 🌙✨ 
We ship our monthly witchcraft subscription boxes worldwide! 🌍
 
About
Witch Casket – a family run magickal monthly subscription service, started by a mother and daughter dedicated to bringing a little magick into the lives of others!

Our Mission
Our mission when we launched Witch Casket was to reach witches worldwide…and we are proud to say we have now shipped our magickal witchcraft subscription boxes to subscribers in over 60 countries! It warms our heart to know that there are so many magickal people across the globe! 🌎

Each monthly Witch Casket is carefully curated and packaged with love and care. And we package our branded boxes in simple, unbranded mailing bags for those who wish to keep things private! 💗🌿

As vegans who care about Mother Earth, we are proud to say the following:
•   All products are ethically sourced.
•   All products are vegan-friendly and cruelty-free.
•   We avoid single-use plastics when sourcing our products.
•   We only use biodegradable mailers and compostable packing peanuts.
•   We plant one tree for each Casket sold.


 Subscribe 
  View Past Caskets 
  Learn More ","Hobbies & Crafts",4185,5,"10 Stars. All the stars!","I can’t say enough great things about this company. The products are lovely, the caskets are so thoughtfully assembled, and the customer service is next to none. They’re in a league of their own!So grateful for the support I’ve received when I reached out. I’ll be singing your praises to whoever will listen!"
"witchcasket.co.uk","Magickal monthly subscription box! Curated by witches, for witches 🌙✨ 
We ship our monthly witchcraft subscription boxes worldwide! 🌍
 
About
Witch Casket – a family run magickal monthly subscription service, started by a mother and daughter dedicated to bringing a little magick into the lives of others!

Our Mission
Our mission when we launched Witch Casket was to reach witches worldwide…and we are proud to say we have now shipped our magickal witchcraft subscription boxes to subscribers in over 60 countries! It warms our heart to know that there are so many magickal people across the globe! 🌎

Each monthly Witch Casket is carefully curated and packaged with love and care. And we package our branded boxes in simple, unbranded mailing bags for those who wish to keep things private! 💗🌿

As vegans who care about Mother Earth, we are proud to say the following:
•   All products are ethically sourced.
•   All products are vegan-friendly and cruelty-free.
•   We avoid single-use plastics when sourcing our products.
•   We only use biodegradable mailers and compostable packing peanuts.
•   We plant one tree for each Casket sold.


 Subscribe 
  View Past Caskets 
  Learn More ","Hobbies & Crafts",4186,5,"Great business ethos","Great business, speedy replies and delivery. Never had any issues, runs like a well oiled machine! "
"witchcasket.co.uk","Magickal monthly subscription box! Curated by witches, for witches 🌙✨ 
We ship our monthly witchcraft subscription boxes worldwide! 🌍
 
About
Witch Casket – a family run magickal monthly subscription service, started by a mother and daughter dedicated to bringing a little magick into the lives of others!

Our Mission
Our mission when we launched Witch Casket was to reach witches worldwide…and we are proud to say we have now shipped our magickal witchcraft subscription boxes to subscribers in over 60 countries! It warms our heart to know that there are so many magickal people across the globe! 🌎

Each monthly Witch Casket is carefully curated and packaged with love and care. And we package our branded boxes in simple, unbranded mailing bags for those who wish to keep things private! 💗🌿

As vegans who care about Mother Earth, we are proud to say the following:
•   All products are ethically sourced.
•   All products are vegan-friendly and cruelty-free.
•   We avoid single-use plastics when sourcing our products.
•   We only use biodegradable mailers and compostable packing peanuts.
•   We plant one tree for each Casket sold.


 Subscribe 
  View Past Caskets 
  Learn More ","Hobbies & Crafts",4187,5,"Perfect for all!","Such a beautiful, curated collection of items! No matter if someone is just starting out in the witchy journey, or a seasoned practitioner, the monthly boxes have some very helpful tools for all. Love that each month is dedicated to a theme, but items can be used at any time throughout the year. "
"witchcasket.co.uk","Magickal monthly subscription box! Curated by witches, for witches 🌙✨ 
We ship our monthly witchcraft subscription boxes worldwide! 🌍
 
About
Witch Casket – a family run magickal monthly subscription service, started by a mother and daughter dedicated to bringing a little magick into the lives of others!

Our Mission
Our mission when we launched Witch Casket was to reach witches worldwide…and we are proud to say we have now shipped our magickal witchcraft subscription boxes to subscribers in over 60 countries! It warms our heart to know that there are so many magickal people across the globe! 🌎

Each monthly Witch Casket is carefully curated and packaged with love and care. And we package our branded boxes in simple, unbranded mailing bags for those who wish to keep things private! 💗🌿

As vegans who care about Mother Earth, we are proud to say the following:
•   All products are ethically sourced.
•   All products are vegan-friendly and cruelty-free.
•   We avoid single-use plastics when sourcing our products.
•   We only use biodegradable mailers and compostable packing peanuts.
•   We plant one tree for each Casket sold.


 Subscribe 
  View Past Caskets 
  Learn More ","Hobbies & Crafts",4188,5,"Best Subscription Ever!! ","Every item is crafted beautifully. The care with which they create each box surprises me every time. I love how they explain the use of each item, in case anyone is unclear how to use them. This is the best subscription I have ever received. "
"witchcasket.co.uk","Magickal monthly subscription box! Curated by witches, for witches 🌙✨ 
We ship our monthly witchcraft subscription boxes worldwide! 🌍
 
About
Witch Casket – a family run magickal monthly subscription service, started by a mother and daughter dedicated to bringing a little magick into the lives of others!

Our Mission
Our mission when we launched Witch Casket was to reach witches worldwide…and we are proud to say we have now shipped our magickal witchcraft subscription boxes to subscribers in over 60 countries! It warms our heart to know that there are so many magickal people across the globe! 🌎

Each monthly Witch Casket is carefully curated and packaged with love and care. And we package our branded boxes in simple, unbranded mailing bags for those who wish to keep things private! 💗🌿

As vegans who care about Mother Earth, we are proud to say the following:
•   All products are ethically sourced.
•   All products are vegan-friendly and cruelty-free.
•   We avoid single-use plastics when sourcing our products.
•   We only use biodegradable mailers and compostable packing peanuts.
•   We plant one tree for each Casket sold.


 Subscribe 
  View Past Caskets 
  Learn More ","Hobbies & Crafts",4189,5,"Witch casket infuses my life with…","Witch casket infuses my life with magick tools to reinforce my craft. So many inspiring and beautiful goods for magickal enhancement ! "
"witchcasket.co.uk","Magickal monthly subscription box! Curated by witches, for witches 🌙✨ 
We ship our monthly witchcraft subscription boxes worldwide! 🌍
 
About
Witch Casket – a family run magickal monthly subscription service, started by a mother and daughter dedicated to bringing a little magick into the lives of others!

Our Mission
Our mission when we launched Witch Casket was to reach witches worldwide…and we are proud to say we have now shipped our magickal witchcraft subscription boxes to subscribers in over 60 countries! It warms our heart to know that there are so many magickal people across the globe! 🌎

Each monthly Witch Casket is carefully curated and packaged with love and care. And we package our branded boxes in simple, unbranded mailing bags for those who wish to keep things private! 💗🌿

As vegans who care about Mother Earth, we are proud to say the following:
•   All products are ethically sourced.
•   All products are vegan-friendly and cruelty-free.
•   We avoid single-use plastics when sourcing our products.
•   We only use biodegradable mailers and compostable packing peanuts.
•   We plant one tree for each Casket sold.


 Subscribe 
  View Past Caskets 
  Learn More ","Hobbies & Crafts",4190,5,"I just love getting my box every month","I just love getting my box every month. It's obviously curated with care. So many interesting little things."
"witchcasket.co.uk","Magickal monthly subscription box! Curated by witches, for witches 🌙✨ 
We ship our monthly witchcraft subscription boxes worldwide! 🌍
 
About
Witch Casket – a family run magickal monthly subscription service, started by a mother and daughter dedicated to bringing a little magick into the lives of others!

Our Mission
Our mission when we launched Witch Casket was to reach witches worldwide…and we are proud to say we have now shipped our magickal witchcraft subscription boxes to subscribers in over 60 countries! It warms our heart to know that there are so many magickal people across the globe! 🌎

Each monthly Witch Casket is carefully curated and packaged with love and care. And we package our branded boxes in simple, unbranded mailing bags for those who wish to keep things private! 💗🌿

As vegans who care about Mother Earth, we are proud to say the following:
•   All products are ethically sourced.
•   All products are vegan-friendly and cruelty-free.
•   We avoid single-use plastics when sourcing our products.
•   We only use biodegradable mailers and compostable packing peanuts.
•   We plant one tree for each Casket sold.


 Subscribe 
  View Past Caskets 
  Learn More ","Hobbies & Crafts",4191,5,"Always brilliant items","Always brilliant items, fast tracked delivery and an awesome monthly treat. "
