company,description,category,review_id,stars,title,review
"wilkinschimneysweep.co.uk","Local Friendly & Professional Chimney Sweep","Home Services",39568,5,"Peter was excellent","Peter was excellent. On time, efficient, friendly and informative.  Definitely recommend and will have again next year. "
"wilkinschimneysweep.co.uk","Local Friendly & Professional Chimney Sweep","Home Services",39569,5,"Good  job work was carried out professionally…","The work was carried out professionally with no mess and I was reassured that the installation was safe "
"wilkinschimneysweep.co.uk","Local Friendly & Professional Chimney Sweep","Home Services",39570,5,"The service was excellent","The service was excellent. Quick clean and efficient. Experienced service with good personal skills."
"wilkinschimneysweep.co.uk","Local Friendly & Professional Chimney Sweep","Home Services",39571,5,"Very professional, no mess","Very professional, clearly experienced and informed. Understood problems and solutions, communicated high level weather concepts and how they related to the stove clearly and in understandable language. Had all his own equipment, left no mess"
"wilkinschimneysweep.co.uk","Local Friendly & Professional Chimney Sweep","Home Services",39572,5,"Exceptional","Gareth was exceptional. He was personable and took so much pride in a job well done. A rare quality in modern tradespeople, we would give him six stars if we could also a great ambassador for his company, highly recommended and would certainly use him again.Mike & Ann WebsterChandlers Ford"
"wilkinschimneysweep.co.uk","Local Friendly & Professional Chimney Sweep","Home Services",39573,5,"Good for another year.","Always a pleasure to hang around while Matthew is doing his sweeping. He is always happy to install or repair parts and has good advice and knowledge of how to get a clean burn and avoid tarring up your flue. "
"wilkinschimneysweep.co.uk","Local Friendly & Professional Chimney Sweep","Home Services",39574,5,"Quick, professional, tidy and affordable!","Quick, professional, friendly and affordable! You can't really ask for much more than that. Absolutely zero mess and a fantastic job done by Ian McMullen.This is the second time we've used their services and we'll definitely be a repeat customer!"
"wilkinschimneysweep.co.uk","Local Friendly & Professional Chimney Sweep","Home Services",39575,5,"Stress free experience.","The chimney was swept by a very pleasant man, who took great pains to keep any mess and disruption to an absolute minimum, he even wore boot protectors coming in and out of the house. He was polite, quick, considerate and happy to answer no end of questions. The whole job was done in a very short time and apart from a faint wiff of soot, you'd never have known he'd been there. Also i rang him at 8am for an ETA and he then arrived that afternoon exactly when he said he would. I then recieved my certifcate with my invoice that i was able to pay  by BACs. Perfect."
"wilkinschimneysweep.co.uk","Local Friendly & Professional Chimney Sweep","Home Services",39576,5,"Attention to detail","Arriving on time. Being completely honest about the bend in the chimney which made sweeping the hall chimney almost impossible. Going the extra mile to empty the grate when I had failed to do so.  Leaving everything spotless."
"wilkinschimneysweep.co.uk","Local Friendly & Professional Chimney Sweep","Home Services",39577,5,"Our cleaner Gareth was polite","Our cleaner Gareth was polite, friendly and professional, he was on time, and the work was done efficiently and cleanly! Perfect service. Thankyou"
"wilkinschimneysweep.co.uk","Local Friendly & Professional Chimney Sweep","Home Services",39587,4,"Clean and efficient but an hour later…","Clean and efficient but an hour later than booked"
"wilkinschimneysweep.co.uk","Local Friendly & Professional Chimney Sweep","Home Services",39588,4,"John did a great and tidy job","John did a great and tidy job. Would be five stars except he arrived much earlier than expected, which caused some issues for us due to managing in-progress remote working meetings. A few years ago this would not have caused a problem. But since the introduction of hybrid working patterns scheduling  work on your house has become more difficult for both sides."
"wilkinschimneysweep.co.uk","Local Friendly & Professional Chimney Sweep","Home Services",39589,4,"As always,prompt,neatandfriendly","As always,prompt,neatandfriendly. we have an eco-stove which is more tricky than many, so despite having the maker's guide,the cleaning wasnot immediatelysuccessful. However, a requested second visit was made very quickly and cheerfullywhich resulted in the stove then burning perfectly, so many thanks for that. So really this merits five  stars."
"wilkinschimneysweep.co.uk","Local Friendly & Professional Chimney Sweep","Home Services",39590,4,"Great job!","Leigh arrived within the allocated time and swept our two chimneys as requested. He was a meticulous worker and tidied up carefully after each sweep. He did a great job whilst answering a few questions I had too. A very interesting man to talk to. Thanks for doing a good job and see you next year!"
"wilkinschimneysweep.co.uk","Local Friendly & Professional Chimney Sweep","Home Services",39591,4,"Highly Recommended Chimney Sweep","I have used this company for many years and I have always been satisfied with service provided. There is no mess & my home was treated with respect & care. Adam turned up when promised. Wilkins  have my complete trust & confidence I was somewhat  disappointed that they are now unable to do a Saturday booking which means I have had to take a day off work which is why I have given a 4 star rating rather than my usual 5."
"wilkinschimneysweep.co.uk","Local Friendly & Professional Chimney Sweep","Home Services",39592,4,"Good","More expensive than our previous chimney sweep, but they did a thorough job and cleaned up afterwards. They did arrive nearly an hour late but my husband was working from home so no big issue. Might be a problem for others though?"
"wilkinschimneysweep.co.uk","Local Friendly & Professional Chimney Sweep","Home Services",39593,4,"From call to clean was quick and tidy","from call to clean was quick and tidy. John offered further advice on another fireplace too which was appreciated. I'd also appreciated it if he'd brought me some wood.. at least tried to sell me some during the booking or even as he was leaving."
"wilkinschimneysweep.co.uk","Local Friendly & Professional Chimney Sweep","Home Services",39594,4,"After the first visit we experienced soot falls","After the first visit we experienced some soot falling from the chimney. I questioned if this was normal with the office they said it was possible that some soot had not been cleaned of the ‘ledge’ but agreed a second cleaning cleaning with no charge and no fuss. Since the second cleaning we have had no more soot falls. All in all a professional and efficient service."
"wilkinschimneysweep.co.uk","Local Friendly & Professional Chimney Sweep","Home Services",39595,4,"Disappointed that the young man didn’t…","Disappointed that the young man didn’t wear any protective covering over his shoes so came in from a wet lane and straight onto our carpet. Other than that very pleasant and chatty."
"wilkinschimneysweep.co.uk","Local Friendly & Professional Chimney Sweep","Home Services",39596,4,"The chimney sweeper was prompt and…","The chimney sweeper was prompt and polite and explained everything well. My only query afterwards would be why the fire place wasn't covered more whilst he was sweeping to reduce the dust and smell as had been the case with a previous sweeper."
"wilkinschimneysweep.co.uk","Local Friendly & Professional Chimney Sweep","Home Services",39597,4,"Just to say","Just to say , although my chimney liner is at fault the service was very professional & options pointed out to me . Did miss the fact I had CO monitor on stairs but all in all pleased with service ."
"wilkinschimneysweep.co.uk","Local Friendly & Professional Chimney Sweep","Home Services",39598,4,"Service good and efficient","Service good and efficient. Only slight problem is we booked for two chimneys to be swept and the sweep only swept one, as apparently he had condemned the one above the wood burner on a previous visit. (we only recently bought the house) and we still had to pay for the double slot. So be aware."
"wilkinschimneysweep.co.uk","Local Friendly & Professional Chimney Sweep","Home Services",39599,4,"Good, but...","Service was swift, efficient and friendly but strangely, the report said that my CO detector was ""Present"" and ""Working"" although it ran out of battery power two years ago. Tut, tut."
"wilkinschimneysweep.co.uk","Local Friendly & Professional Chimney Sweep","Home Services",39600,4,"Stephen arrived on time and did the…","Stephen arrived on time and did the sweep and checks efficiently and also helped replaced a cracked stove brick.I would have liked a hand written certificate on completion of the work but one was forwarded to me by email together with and invoice"
"wilkinschimneysweep.co.uk","Local Friendly & Professional Chimney Sweep","Home Services",39601,4,"Professional and effective","This company are organised, efficient and excellent communicators. From the outset, appointments are made quickly. Everything is confirmed in writing and their website gives good information on the entire process.The staff member who attended was experienced and proficient- albeit he cracked the baffle plate at the rear of the stove. This was accidental and the owner, John, was quick to source a new plate and effect a repair.I found the whole experience professional and well organised. I will use again."
