company,description,category,review_id,stars,title,review
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87077,5,"If you think housing officers are useless and patronising,then you haven't met Becky Collins",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87078,5,"I had a great experience having taiba…",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87079,5,"Zoya The CSO ☺️",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87080,5,"(Mohammed Junaid Miah) was our housing…",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87081,5,"Serious housing conditions ",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87082,5,"Amazing people! ",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87083,5,"Fiona godson",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87084,5,"Midland heart is the best housing…",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87085,5,"Abdul has been an amazing support for…",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87086,5,"I would like like to point out ",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87097,4,"Good could do better ",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87098,4,"I must say everything I have asked…",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87099,4,"Just One Complaint",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87100,4,"Not sure what this review is for",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87101,4,"Where do I start eh ….",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87102,4,"WALWIN STEPHENS & TWO OTHER BUILDERS",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87103,4,"I am leaving this review for two…",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87104,4,"Organisation could do with improving!!",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87105,4,"Emersion heater",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87106,4,"Broken bathroom fan",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87107,4,"Communication from Simone Murrain in…",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87108,4,"Repairs are always done in a timely…",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87109,4,"Alex B. Plumber",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87110,4,"Help with decluttering and supporting me...",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87111,4,"Poor communication initially…",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87112,4,"Good guy graham and majid",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87113,4,"OK review",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87114,4,"The gentleman Dominic who came to fix…",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87115,4,"Great Service",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87116,4,"The reason why I gave up because I…a",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87117,3,"Sometimes things go wrong and sometimes…",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87118,3,"Decent housing association, but room for improvements",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87119,3,"Great for ideas to improve things but!",""
"www.midlandheart.org.uk","We're a housing association, delivering homes and services across the Midlands that help people to live independently. 

This profile is monitored Mon-Fri 9am - 5pm. For emergencies call 0345 60 20 540.","Public & Local Services",87120,3,"Stone cold Hot Water ?",""
