method,P,TRIR,U,PU,D,D_text,T,GAIN,relative_gain
spacy,0.37041605475009076,0.2928870292887029,0.9677552707730467,0.9681686647374949,0.23783763212549533,0.23783763212549533,0.03268706076891277,0.5478262075391206,0.6124589180450695
dpmlm_shap,0.3625518486926165,0.26333798233379824,0.89978779109825,0.9036681824445363,0.25309162807835023,0.25309162807835023,6.149572190318649,0.5036943638246159,0.5510337698727253
dpparaphrase,0.08161713213538843,0.03877266387726639,0.4827278599151807,0.5211715496050532,0.3751800882856481,0.3751800882856481,2.9761314592806944,0.46599264617924485,0.4101301070015101
risk_shap,0.3885135376782713,0.3000154966682163,0.9072160213127555,0.8798860869964632,0.43669448136503547,0.43669448136503547,2.8075113683340223,0.4096727410249412,0.5322852259298515
petre_shap,0.47124201813127636,0.33779637377963734,0.939975196362133,0.932286068623398,0.2911431397418517,0.2911431397418517,3.609125953001557,0.4023545531354598,0.4818223638213476
dpbart,0.1426291366004194,0.0909344490934449,0.3505787377585441,0.3436045409107159,0.41211733339160145,0.41211733339160145,1.6897445225299712,0.27790620299113517,0.21330593536653283
dpmlm_uniform,0.46088063040159827,0.37238493723849375,0.7242662257131046,0.7324514262091774,0.25425332703494047,0.25425332703494047,8.188740801984292,0.277846385474852,0.2720704501979726
presidio,0.701819670428745,0.6220362622036263,0.9727159983464242,0.972302604381976,0.1707193464866203,0.1707193464866203,0.04459694088466308,0.23221176663553292,0.28137383552635054
dpprompt,0.44596377859242214,0.405020920502092,0.5006737797788766,0.5115456051132475,0.363569732069095,0.363569732069095,1.981681686647375,0.09659782015505933,0.05888938779801469
baseline,0.9858786610878661,0.9776847977684797,0.9793303017775941,0.9731293923108723,0.0,0.0,0.0,0.0,0.0
dummy,0.01804513284589095,0.0029271982670894003,0.054981397271599834,0.054981397271599834,1.0,1.0,,0.0,0.037838227751878485
