method,params,split,P,TRIR,U,PU,D,D_text,T,GAIN,relative_gain
baseline,{},,0.9858786610878661,0.9776847977684797,0.9793303017775941,0.9731293923108723,0.0,0.0,0.0,0.0,0.0
dummy,{},,0.01804513284589095,0.0029271982670894003,0.054981397271599834,0.054981397271599834,1.0,1.0,,0.0,0.037838227751878485
presidio,{},,0.701819670428745,0.6220362622036263,0.9727159983464242,0.972302604381976,0.1707193464866203,0.1707193464866203,0.04459694088466308,0.23221176663553292,0.28137383552635054
dpmlm_uniform,{'epsilon': 10},,0.0224365483537587,0.0041841004184100415,0.10334849111202976,0.1128565522943365,0.42758785286296885,0.42758785286296885,9.201711451012814,0.22471368853512483,0.08277183872775248
dpmlm_uniform,{'epsilon': 25},,0.23229525795526762,0.14365411436541145,0.7933030177759405,0.7941298057048367,0.2764349108628864,0.2764349108628864,12.30463001240182,0.5544818528271249,0.574423869056747
dpmlm_uniform,{'epsilon': 50},,0.6433997162475129,0.5230125523012553,0.9024390243902439,0.9119470855725507,0.19999590731076142,0.19999590731076142,4.15087639520463,0.2365395134376905,0.26887033781052017
dpmlm_uniform,{'epsilon': 100},,0.6875330084543982,0.5760111576011158,0.909466721785862,0.920214964861513,0.18606559636549497,0.18606559636549497,5.18430756510955,0.20095311524412227,0.231280921290266
dpmlm_uniform,{'epsilon': 250},,0.7187386209970538,0.6150627615062761,0.9127738735014469,0.9231087226126499,0.18118236777259084,0.18118236777259084,10.102178586192641,0.17254375733019764,0.2030052841045774
dpmlm_shap,{'epsilon': 10},,0.023611254984651952,0.00697350069735007,0.13724679619677552,0.14055394791236048,0.4637203976983969,0.4637203976983969,6.6297643654402645,0.23370754975359045,0.1161940671408611
dpmlm_shap,{'epsilon': 25},,0.06893148942408873,0.03207810320781032,0.6998759818106656,0.6105828854898718,0.37554046080600584,0.37554046080600584,2.7994253823894173,0.5897081837522661,0.6447286935856685
dpmlm_shap,{'epsilon': 50},,0.16451550895329306,0.09762900976290097,0.8152128978916908,0.8119057461761058,0.31900901195784526,0.31900901195784526,7.3345473336089295,0.6236376142197124,0.6655467775660658
dpmlm_shap,{'epsilon': 100},,0.24714974586292593,0.16596931659693168,0.8673005374121537,0.8726746589499793,0.29283856172553513,0.29283856172553513,7.005965274906987,0.5871675146036482,0.6349159190205478
dpmlm_shap,{'epsilon': 250},,0.2833657774133102,0.1910739191073919,0.8772219925589086,0.9090533278214138,0.2773403091838952,0.2773403091838952,7.914175279040926,0.5716083226669205,0.6083120001533164
