method,params,split,P,TRIR,U,PU,D,D_text,T,GAIN,relative_gain
baseline,{},,0.9858786610878661,0.9776847977684797,0.9793303017775941,0.9731293923108723,0.0,0.0,0.0,0.0,0.0
dummy,{},,0.01804513284589095,0.0029271982670894003,0.054981397271599834,0.054981397271599834,1.0,1.0,,0.0,0.037838227751878485
presidio,{},,0.701819670428745,0.6220362622036263,0.9727159983464242,0.972302604381976,0.1707193464866203,0.1707193464866203,0.04459694088466308,0.23221176663553292,0.28137383552635054
risk_shap,{'rho': 0.9},,0.5926018157148961,0.504881450488145,0.9656883009508062,0.9611409673418768,0.30694975065773505,0.30694975065773505,2.8075113683340223,0.2923002908841539,0.3849800602764798
risk_shap,{'rho': 0.8},,0.5221286705899496,0.4323570432357043,0.9524596940884663,0.9524596940884663,0.369900097916501,0.369900097916501,2.8075113683340223,0.33594428985868774,0.4429548258641508
risk_shap,{'rho': 0.7},,0.4876918581208724,0.39609483960948394,0.9470855725506407,0.9483257544439851,0.4037440908335861,0.4037440908335861,2.8075113683340223,0.35677622001262127,0.4723973502276825
risk_shap,{'rho': 0.6},,0.4461599524607592,0.35006973500697347,0.9499793303017776,0.937577511368334,0.4282981849280535,0.4282981849280535,2.8075113683340223,0.38881141718754164,0.5174789758631488
risk_shap,{'rho': 0.5},,0.3996981939331228,0.30264993026499304,0.9317899958660604,0.9181479950392725,0.44878783102026776,0.44878783102026776,2.8075113683340223,0.4165081820093785,0.5460329967272877
risk_shap,{'rho': 0.4},,0.3526651087938446,0.2594142259414226,0.9185613890037205,0.8970649028524184,0.46794778499836986,0.46794778499836986,2.8075113683340223,0.4465584556278348,0.5802319561119891
risk_shap,{'rho': 0.3},,0.29972937085758566,0.21199442119944212,0.8850764778834229,0.8491112029764365,0.4854909561079441,0.4854909561079441,2.8075113683340223,0.4664060408876873,0.5997342827342524
risk_shap,{'rho': 0.2},,0.2330695146566986,0.14225941422594143,0.8371227780074411,0.7833815626291856,0.501969278004554,0.501969278004554,2.8075113683340223,0.4889853349496612,0.618383140188548
