method,params,split,P_exact,P_more,P_full,TRIR_exact,TRIR_more,TRIR_full,U_acc,U_mae,PU_acc,PU_mae,D_bertscore,D_cosine,D_pp,T_anon_avg_s
baseline,{},,0.9745467224546723,0.9968619246861925,0.9862273361227336,0.9581589958158996,0.99581589958159,0.9790794979079498,0.9793303017775941,,0.9731293923108723,,0.0,0.0,,0.0
presidio,{},,0.8300033611152599,0.7343394339425978,0.5411162162283775,0.7447698744769874,0.6652719665271967,0.4560669456066946,0.9727159983464242,,0.972302604381976,,0.09998730250063294,0.24145139047260766,,0.04459694088466308
spacy,{},,0.6271130766640833,0.31925031065642484,0.16488477692976408,0.5146443514644351,0.2384937238493724,0.12552301255230125,0.9677552707730467,,0.9681686647374949,,0.13664573822794202,0.33902952602304864,,0.03268706076891277
dpbart,{'epsilon': 10},,0.023672320953295817,0.02188197736031689,0.002887477424268231,0.0041841004184100415,0.0,0.0,0.07341352136043136,,0.04852758191621734,,0.2885285934339861,0.755603827702593,,1.6741794129805705
dpbart,{'epsilon': 25},,0.023643785090776102,0.03067613681480749,0.003341862091634532,0.0041841004184100415,0.008368200836820083,0.0,0.07335267302113552,,0.053460422710319096,,0.2840794683787223,0.7370712468168057,,1.6190615957007028
dpbart,{'epsilon': 50},,0.034141646583719244,0.03942280957652216,0.005213326084333122,0.008368200836820083,0.012552301255230125,0.0,0.09283050145047658,,0.08122668876916701,,0.27242828094756705,0.6709825664436792,,1.5112236461347666
dpbart,{'epsilon': 100},,0.37017045404793625,0.2841777413221839,0.0962742661246229,0.23430962343096234,0.18410041841004185,0.04184100418410042,0.6654259718775848,,0.7005789909015715,,0.1917756258258157,0.4049707386084979,,1.7736130632492766
dpbart,{'epsilon': 250},,0.5532114681769755,0.4654082944889868,0.18531348286591245,0.42677824267782427,0.34309623430962344,0.09623430962343096,0.8478710210830922,,0.8342290202563043,,0.16820243923759698,0.34753054652075077,,1.870644894584539
dpparaphrase,{'epsilon': 10},,0.09756595264412943,0.11841744401755686,0.03222801447617545,0.0502092050209205,0.058577405857740586,0.012552301255230125,0.4774700289375775,,0.49607275733774286,,0.24874634363770534,0.5151887831927645,,3.041161637040099
dpparaphrase,{'epsilon': 25},,0.06982843120152696,0.11228130450152451,0.02038320172088346,0.029288702928870293,0.0502092050209205,0.0041841004184100415,0.40512608515915666,,0.4915254237288136,,0.24629604311312658,0.5112460666540556,,2.9466267052501034
dpparaphrase,{'epsilon': 50},,0.08069670397827762,0.11103917306021623,0.031864394415616955,0.03765690376569038,0.06276150627615062,0.012552301255230125,0.3815626291856139,,0.5047540305911534,,0.24210485585616018,0.5059363629061416,,2.7338900372054566
dpparaphrase,{'epsilon': 100},,0.08330526393186334,0.12031190313502697,0.03377581531209293,0.03347280334728033,0.058577405857740586,0.012552301255230125,0.5560148821827201,,0.5436130632492766,,0.23210954698169955,0.4908567545123155,,3.05011988424969
dpparaphrase,{'epsilon': 250},,0.09005784497753767,0.15968946732313508,0.06281206733526296,0.02510460251046025,0.100418410041841,0.03347280334728033,0.5934656741108354,,0.5698924731182796,,0.23252397240736547,0.5267921535951463,,3.108859032658123
dpprompt,{'epsilon': 10},,0.02366362092661947,0.02943992240709037,0.004646802274646134,0.0,0.008368200836820083,0.0,0.06868018204385602,,0.04840711625982623,,0.28673093803273186,0.8153455363103737,,4.182108309218686
dpprompt,{'epsilon': 25},,0.032131087279384116,0.02951482114573004,0.0034246384409010702,0.008368200836820083,0.0041841004184100415,0.0,0.0622923588039867,,0.0739202657807309,,0.2753855478872492,0.7207179572092883,,3.896672178586192
dpprompt,{'epsilon': 50},,0.5942359546600073,0.6945367581545258,0.5758121331286365,0.497907949790795,0.6443514644351465,0.5355648535564853,0.7012448132780082,,0.7427385892116183,,0.15286220967522302,0.41807924363669396,,0.5804836709384044
dpprompt,{'epsilon': 100},,0.696420993480082,0.8466099160536136,0.7339253339545029,0.6108786610878661,0.8075313807531381,0.6903765690376569,0.8267162944582299,,0.835814722911497,,0.1289466789579273,0.36057265950475664,,0.6418561389003721
dpprompt,{'epsilon': 250},,0.7593600230784714,0.8901726345590113,0.7755620393431099,0.6778242677824268,0.8661087866108786,0.7238493723849372,0.844435250310302,,0.8568473314025652,,0.12635181090236944,0.35070473857433604,,0.6072881355932204
dpmlm_uniform,{'epsilon': 10},,0.029029153263360034,0.03326010015457465,0.005020391643341412,0.0041841004184100415,0.008368200836820083,0.0,0.10334849111202976,,0.1128565522943365,,0.27404353888678423,0.5811321668391535,0.9999932781469195,9.201711451012814
dpmlm_uniform,{'epsilon': 25},,0.19232247874954025,0.3550056892587794,0.1495576058574832,0.100418410041841,0.24686192468619247,0.08368200836820083,0.7933030177759405,,0.7941298057048367,,0.20542802784550332,0.34744179388026947,0.9881309637185363,12.30463001240182
dpmlm_uniform,{'epsilon': 50},,0.6638173477933211,0.758696502501193,0.5076852984480246,0.5397489539748954,0.6443514644351465,0.38493723849372385,0.9024390243902439,,0.9119470855725507,,0.1549118464275942,0.24507996819392863,0.8652713257021751,4.15087639520463
dpmlm_uniform,{'epsilon': 100},,0.7274615261539948,0.7830098158341999,0.552127683375,0.606694560669456,0.6778242677824268,0.4435146443514644,0.909466721785862,,0.920214964861513,,0.14347023964421027,0.2286609530867797,0.8107521990457613,5.18430756510955
dpmlm_uniform,{'epsilon': 250},,0.7572422979719227,0.8264149195271195,0.5725586454921191,0.6485355648535565,0.7364016736401674,0.4602510460251046,0.9127738735014469,,0.9231087226126499,,0.13901969419623664,0.223345041348945,0.7840893541333298,10.102178586192641
dpmlm_shap,{'epsilon': 10},,0.03259140365069447,0.03419663938879543,0.00404572191446596,0.008368200836820083,0.012552301255230125,0.0,0.13724679619677552,,0.14055394791236048,,0.2736068256091559,0.653833969787638,0.8607534260946916,9.426324927656056
