method,params,split,P_exact,P_more,P_full,TRIR_exact,TRIR_more,TRIR_full,U_acc,U_mae,PU_acc,PU_mae,D_bertscore,D_cosine,D_pp,T_anon_avg_s
baseline,{},,0.9745467224546723,0.9968619246861925,0.9862273361227336,0.9581589958158996,0.99581589958159,0.9790794979079498,0.9793303017775941,,0.9731293923108723,,0.0,0.0,,0.0
dummy,{},,0.02533794898808972,0.02533794898808972,0.0034595005614934146,0.0041841004184100415,0.0041841004184100415,0.00041339396444811904,0.054981397271599834,,0.054981397271599834,,1.0,1.0,,
presidio,{},,0.8300033611152599,0.7343394339425978,0.5411162162283775,0.7447698744769874,0.6652719665271967,0.4560669456066946,0.9727159983464242,,0.972302604381976,,0.09998730250063294,0.24145139047260766,,0.04459694088466308
petre_shap,{'k': 2},,0.767141390916262,0.6732668593762995,0.24989251497715453,0.6610878661087866,0.5732217573221757,0.0,0.9586606035551881,,0.9508061182306738,,0.12690232836446175,0.3741613882149132,0.28972577544343475,3.4307852329213433
petre_shap,{'k': 3},,0.7388581696964629,0.6313835915516091,0.1681938157701314,0.6276150627615062,0.497907949790795,0.0,0.9520463001240181,,0.9421248449772633,,0.1347030008465064,0.40723918005487214,0.34531600007156205,3.552475102782801
petre_shap,{'k': 5},,0.7214066687999803,0.5613615061397895,0.10085357171429962,0.6150627615062761,0.39330543933054396,0.0,0.9458453906572964,,0.9330301777594047,,0.14430478388931003,0.4468309966891191,0.3872176663849986,3.6442000122389215
petre_shap,{'k': 7},,0.6895553865988807,0.5193230703775044,0.0766581294414785,0.5732217573221757,0.3389121338912134,0.0,0.9284828441504754,,0.9206283588259612,,0.15123451157708265,0.4718337973538184,0.40455105747224074,3.682143699636741
petre_shap,{'k': 10},,0.6772121181726021,0.4392252376425425,0.05429824079414887,0.5564853556485355,0.2301255230125523,0.0,0.9148408433236874,,0.9148408433236874,,0.15800419083899236,0.4962172195894406,0.42916537808776695,3.7360257174279776
petre_shap,{'k': 2},test,0.41104055552311625,0.4932897766166157,,0.008368200836820083,0.401673640167364,,,,0.895397489539749,,,,0.33909110385982033,
petre_shap,{'k': 3},test,0.2686553451074862,0.44180270375860003,,0.0,0.35564853556485354,,,,0.8619246861924688,,,,0.3830507540119338,
petre_shap,{'k': 5},test,0.15495596624592242,0.3349589481369617,,0.0,0.2594142259414226,,,,0.803347280334728,,,,0.42668468973515256,
petre_shap,{'k': 7},test,0.11420528133104514,0.2932101242692267,,0.0041841004184100415,0.2175732217573222,,,,0.7615062761506276,,,,0.4299999973520731,
petre_shap,{'k': 10},test,0.08202708913604084,0.23249625328404996,,0.0041841004184100415,0.16317991631799164,,,,0.7196652719665272,,,,0.4562957315500588,
dpmlm_shap,"{'epsilon': 10, 'k': 2}",,0.7464646248858876,0.6801088435195387,0.26020905832182023,0.6317991631799164,0.5732217573221757,0.0,0.9553534518396032,,0.9623811492352211,,0.11399979278931888,0.2727708359452603,0.05713427127168954,3.447268526150624
dpmlm_shap,"{'epsilon': 10, 'k': 3}",,0.7119252801242827,0.6360173004740208,0.1808982843973183,0.5941422594142259,0.49372384937238495,0.0,0.9561802397684994,,0.9565936337329475,,0.1188087878319881,0.2836498999063414,0.07846536148645225,3.690210458780756
dpmlm_shap,"{'epsilon': 10, 'k': 5}",,0.6781650335650741,0.5680532383287773,0.10862795438469508,0.5606694560669456,0.3891213389121339,0.0,0.95824720959074,,0.9528730880529144,,0.12436139494882925,0.29652533084831734,0.10371799977308559,3.977815296958156
dpmlm_shap,"{'epsilon': 10, 'k': 7}",,0.6553458854913616,0.5185730811080344,0.08187391473390872,0.5355648535564853,0.3179916317991632,0.0,0.9520463001240181,,0.9495659363373294,,0.12782875387172848,0.3046770037797523,0.11937101924817387,4.156089110649274
dpmlm_shap,"{'epsilon': 10, 'k': 10}",,0.6260472614675158,0.43325711886934004,0.0590355976779941,0.502092050209205,0.20502092050209206,0.0,0.9462587846217445,,0.9429516329061596,,0.13184096215430643,0.3138488984923562,0.13789355826816857,4.36704417114685
dpmlm_shap,"{'epsilon': 25, 'k': 2}",,0.7485078348273361,0.6825196823320511,0.2489015055112012,0.6443514644351465,0.5815899581589958,0.0041841004184100415,0.9627945431996693,,0.9648615130219099,,0.11369156852247499,0.27078337715449735,0.05993512152021798,3.3975978293415623
dpmlm_shap,"{'epsilon': 25, 'k': 3}",,0.7193197383200688,0.6350618403135397,0.17486058355606934,0.6108786610878661,0.502092050209205,0.0041841004184100415,0.9570070276973957,,0.9611409673418768,,0.11842317781255185,0.2808044654813469,0.08295290058486265,3.6284231396673614
dpmlm_shap,"{'epsilon': 25, 'k': 5}",,0.6833269074446341,0.5712744248001829,0.11911198751292111,0.5732217573221757,0.39748953974895396,0.008368200836820083,0.9615543613063249,,0.954940057875155,,0.12422578363883786,0.2931499187859586,0.11152449906901335,3.914942880259459
dpmlm_shap,"{'epsilon': 25, 'k': 7}",,0.6457155088154907,0.5279689854696388,0.09081378102339123,0.5271966527196653,0.33472803347280333,0.008368200836820083,0.9470855725506407,,0.9499793303017776,,0.1282411155103405,0.3013194583821464,0.13263180780616143,4.126609743326983
