method,params,P_exact,P_more,P_full,U_nominal_raw,U_ordinal_raw,SD_nominal_raw,SD_ordinal_raw,D_bertscore,D_cosine,D_pp,divergence__count,privacy__exact_count,privacy__full_count,privacy__more_count,privacy_exact_accuracy,privacy_full_accuracy,privacy_more_accuracy,supervised_divergence__label_count,supervised_divergence__utility_nominal_raw_count,supervised_divergence__utility_nominal_score_count,supervised_divergence__utility_score_count,supervised_divergence_label_acc,supervised_divergence_label_baseline_acc,supervised_divergence_label_dummy_acc,supervised_divergence_label_dummy_strategy,supervised_divergence_label_f1,supervised_divergence_label_macro_f1,supervised_divergence_label_racc,supervised_divergence_label_score,supervised_divergence_utility_dummy_strategy,supervised_divergence_utility_nominal_baseline_acc,supervised_divergence_utility_nominal_dummy_acc,supervised_divergence_utility_nominal_weighted_score,supervised_divergence_utility_total_score,supervised_divergence_utility_weighted_score,utility__label_count,utility__utility_nominal_raw_count,utility__utility_nominal_score_count,utility__utility_score_count,utility_label_acc,utility_label_baseline_acc,utility_label_dummy_acc,utility_label_dummy_strategy,utility_label_f1,utility_label_macro_f1,utility_label_racc,utility_label_score,utility_utility_dummy_strategy,utility_utility_nominal_baseline_acc,utility_utility_nominal_dummy_acc,utility_utility_nominal_weighted_score,utility_utility_total_score,utility_utility_weighted_score
baseline,{},0.9745467224546723,0.9968619246861925,0.9862273361227336,0.9793303017775941,,0.9731293923108723,,0.0,0.0,,,239,239,239,0.9581589958158996,0.9790794979079498,0.99581589958159,2419,2419,,,0.9731293923108723,0.9731293923108723,,,0.9722031519983906,0.9722031519983906,,,,0.9731293923108723,,,,,2419,2419,,,0.9793303017775941,0.9793303017775941,,,0.9794255899444719,0.9794255899444719,,,,0.9793303017775941,,,,
dpmlm_uniform,{'epsilon': 10},0.029029153263360034,0.03326010015457465,0.005020391643341412,0.10334849111202976,,0.1128565522943365,,0.27404353888678423,0.5811321668391535,0.9999932781469195,2419.0,239,239,239,0.0041841004184100415,0.0,0.008368200836820083,2419,2419,2419.0,2419.0,0.1128565522943365,0.9731293923108723,0.054981397271599834,mode,0.08233385331768539,0.08233385331768539,0.06303466906798738,0.06303466906798738,mode,0.9731293923108723,0.054981397271599834,0.06303466906798738,0.06303466906798738,0.06303466906798738,2419,2419,2419.0,2419.0,0.10334849111202976,0.9793303017775941,0.054981397271599834,mode,0.04200795565194378,0.04200795565194378,0.05232558139534883,0.05232558139534883,mode,0.9793303017775941,0.054981397271599834,0.05232558139534883,0.05232558139534883,0.05232558139534883
dpmlm_uniform,{'epsilon': 25},0.19232247874954025,0.3550056892587794,0.1495576058574832,0.7933030177759405,,0.7941298057048367,,0.20542802784550332,0.34744179388026947,0.9881309637185363,2419.0,239,239,239,0.100418410041841,0.08368200836820083,0.24686192468619247,2419,2419,2419.0,2419.0,0.7941298057048367,0.9731293923108723,0.054981397271599834,mode,0.7735166302119275,0.7735166302119275,0.805042773525439,0.805042773525439,mode,0.9731293923108723,0.054981397271599834,0.805042773525439,0.805042773525439,0.805042773525439,2419,2419,2419.0,2419.0,0.7933030177759405,0.9793303017775941,0.054981397271599834,mode,0.7329511061499662,0.7329511061499662,0.7987477638640429,0.7987477638640429,mode,0.9793303017775941,0.054981397271599834,0.7987477638640429,0.7987477638640429,0.7987477638640429
dpmlm_uniform,{'epsilon': 50},0.6638173477933211,0.758696502501193,0.5076852984480246,0.9024390243902439,,0.9119470855725507,,0.1549118464275942,0.24507996819392863,0.8652713257021751,2419.0,239,239,239,0.5397489539748954,0.38493723849372385,0.6443514644351465,2419,2419,2419.0,2419.0,0.9119470855725507,0.9731293923108723,0.054981397271599834,mode,0.9014381412109769,0.9014381412109769,0.9333633498424133,0.9333633498424133,mode,0.9731293923108723,0.054981397271599834,0.9333633498424133,0.9333633498424133,0.9333633498424133,2419,2419,2419.0,2419.0,0.9024390243902439,0.9793303017775941,0.054981397271599834,mode,0.8561698496150738,0.8561698496150738,0.9168157423971378,0.9168157423971378,mode,0.9793303017775941,0.054981397271599834,0.9168157423971378,0.9168157423971378,0.9168157423971378
dpmlm_uniform,{'epsilon': 100},0.7274615261539948,0.7830098158341999,0.552127683375,0.909466721785862,,0.920214964861513,,0.14347023964421027,0.2286609530867797,0.8107521990457613,2419.0,239,239,239,0.606694560669456,0.4435146443514644,0.6778242677824268,2419,2419,2419.0,2419.0,0.920214964861513,0.9731293923108723,0.054981397271599834,mode,0.9053267469596623,0.9053267469596623,0.9423683025664115,0.9423683025664115,mode,0.9731293923108723,0.054981397271599834,0.9423683025664115,0.9423683025664115,0.9423683025664115,2419,2419,2419.0,2419.0,0.909466721785862,0.9793303017775941,0.054981397271599834,mode,0.8784111762350945,0.8784111762350945,0.9244186046511629,0.9244186046511629,mode,0.9793303017775941,0.054981397271599834,0.924418604651163,0.924418604651163,0.924418604651163
dpmlm_uniform,{'epsilon': 250},0.7572422979719227,0.8264149195271195,0.5725586454921191,0.9127738735014469,,0.9231087226126499,,0.13901969419623664,0.223345041348945,0.7840893541333298,2419.0,239,239,239,0.6485355648535565,0.4602510460251046,0.7364016736401674,2419,2419,2419.0,2419.0,0.9231087226126499,0.9731293923108723,0.054981397271599834,mode,0.9089522305551699,0.9089522305551699,0.9455200360198109,0.9455200360198109,mode,0.9731293923108723,0.054981397271599834,0.9455200360198109,0.9455200360198109,0.9455200360198109,2419,2419,2419.0,2419.0,0.9127738735014469,0.9793303017775941,0.054981397271599834,mode,0.8794009924379865,0.8794009924379865,0.9279964221824687,0.9279964221824687,mode,0.9793303017775941,0.054981397271599834,0.9279964221824687,0.9279964221824687,0.9279964221824687
dpmlm_shap,{'epsilon': 10},0.039888187753787226,0.030964044579655244,0.005840582954234785,0.1260851591566763,,0.14592806945018602,,0.27372013665073514,0.6534854797426951,0.8608744440254164,2419.0,239,239,239,0.008368200836820083,0.0,0.0,2419,2419,2419.0,2419.0,0.14592806945018602,0.9731293923108723,0.054981397271599834,mode,0.1287705276527785,0.1287705276527785,0.09905447996398017,0.09905447996398017,mode,0.9731293923108723,0.054981397271599834,0.09905447996398017,0.09905447996398017,0.09905447996398017,2419,2419,2419.0,2419.0,0.1260851591566763,0.9793303017775941,0.054981397271599834,mode,0.054414997696945,0.054414997696945,0.07692307692307691,0.07692307692307691,mode,0.9793303017775941,0.054981397271599834,0.07692307692307691,0.07692307692307691,0.07692307692307691
dpmlm_shap,{'epsilon': 25},0.08268889091040753,0.08431989303380001,0.028675149284858217,0.6730053741215378,,0.5899131872674659,,0.2392907561522567,0.5112584584930456,0.8034758151507059,2419.0,239,239,239,0.03347280334728033,0.016736401673640166,0.04184100418410042,2419,2419,2419.0,2419.0,0.5899131872674659,0.9731293923108723,0.054981397271599834,mode,0.5829864793991096,0.5829864793991096,0.5826204412426835,0.5826204412426835,mode,0.9731293923108723,0.054981397271599834,0.5826204412426835,0.5826204412426835,0.5826204412426835,2419,2419,2419.0,2419.0,0.6730053741215378,0.9793303017775941,0.054981397271599834,mode,0.6049655182195276,0.6049655182195276,0.6686046511627907,0.6686046511627907,mode,0.9793303017775941,0.054981397271599834,0.6686046511627907,0.6686046511627907,0.6686046511627907
dpmlm_shap,{'epsilon': 50},0.24521822628135131,0.16881366132265418,0.06511898874246408,0.8098387763538653,,0.8259611409673419,,0.2093584007495393,0.4280089551152499,0.7060581558139108,2419.0,239,239,239,0.14225941422594143,0.03765690376569038,0.08368200836820083,2419,2419,2419.0,2419.0,0.8259611409673419,0.9731293923108723,0.054981397271599834,mode,0.8167022872073592,0.8167022872073592,0.8397118415128321,0.8397118415128321,mode,0.9731293923108723,0.054981397271599834,0.8397118415128321,0.8397118415128321,0.8397118415128321,2419,2419,2419.0,2419.0,0.8098387763538653,0.9793303017775941,0.054981397271599834,mode,0.7585390850764143,0.7585390850764143,0.8166368515205725,0.8166368515205725,mode,0.9793303017775941,0.054981397271599834,0.8166368515205725,0.8166368515205725,0.8166368515205725
dpmlm_shap,{'epsilon': 100},0.3504835230706649,0.2333399251035145,0.08434830988224185,0.8598594460520876,,0.8797023563455973,,0.19523543755147713,0.39124887813315407,0.6430503351799126,2419.0,239,239,239,0.2384937238493724,0.04602510460251046,0.13807531380753138,2419,2419,2419.0,2419.0,0.8797023563455973,0.9731293923108723,0.054981397271599834,mode,0.8734974771630029,0.8734974771630029,0.8982440342188204,0.8982440342188204,mode,0.9731293923108723,0.054981397271599834,0.8982440342188205,0.8982440342188205,0.8982440342188205,2419,2419,2419.0,2419.0,0.8598594460520876,0.9793303017775941,0.054981397271599834,mode,0.8156670830683149,0.8156670830683149,0.8707513416815742,0.8707513416815742,mode,0.9793303017775941,0.054981397271599834,0.8707513416815742,0.8707513416815742,0.8707513416815742
dpmlm_shap,{'epsilon': 250},0.4576501381453148,0.3081467530212715,0.1099627905086336,0.9011988424968995,,0.9156676312525837,,0.18618160047625745,0.36910289443441047,0.5981538608827498,2419.0,239,239,239,0.34309623430962344,0.058577405857740586,0.2175732217573222,2419,2419,2419.0,2419.0,0.9156676312525837,0.9731293923108723,0.054981397271599834,mode,0.9056562529176029,0.9056562529176029,0.9374155785682124,0.9374155785682124,mode,0.9731293923108723,0.054981397271599834,0.9374155785682126,0.9374155785682126,0.9374155785682126,2419,2419,2419.0,2419.0,0.9011988424968995,0.9793303017775941,0.054981397271599834,mode,0.871681462724084,0.871681462724084,0.915474060822898,0.915474060822898,mode,0.9793303017775941,0.054981397271599834,0.9154740608228978,0.9154740608228978,0.9154740608228978
dpmlm_shap_masked,{'epsilon': 10},0.03259140365069447,0.03419663938879543,0.00404572191446596,0.13724679619677552,,0.14055394791236048,,0.2736068256091559,0.653833969787638,0.8607534260946916,2419.0,239,239,239,0.008368200836820083,0.0,0.012552301255230125,2419,2419,2419.0,2419.0,0.14055394791236048,0.9731293923108723,0.054981397271599834,mode,0.1272603218717894,0.1272603218717894,0.09320126069338135,0.09320126069338135,mode,0.9731293923108723,0.054981397271599834,0.09320126069338135,0.09320126069338135,0.09320126069338135,2419,2419,2419.0,2419.0,0.13724679619677552,0.9793303017775941,0.054981397271599834,mode,0.06221564348298266,0.06221564348298266,0.08899821109123432,0.08899821109123432,mode,0.9793303017775941,0.054981397271599834,0.08899821109123432,0.08899821109123432,0.08899821109123432
