method,params,P_exact,P_more,U_nominal,D_bertscore,D_cosine,relative_gain
baseline,{},0.9739999999999999,1.0,0.94,0.0,0.0,0.0
dpmlm_shap,"{'k': 2, 'epsilon': 10}",0.4921873015873016,0.7449864335011392,0.84,0.14745452451705932,0.371786208987236,0.26688260633817584
dpmlm_shap,"{'k': 2, 'epsilon': 25}",0.49420317460317453,0.7620092623063212,0.86,0.14528303050994873,0.3600890280008316,0.27851446965071125
dpmlm_shap,"{'k': 2, 'epsilon': 50}",0.5337603174603174,0.7895764345959997,0.884,0.14302750754356383,0.345479020178318,0.2700421722105789
dpmlm_shap,"{'k': 2, 'epsilon': 100}",0.553815873015873,0.7953508086031615,0.888,0.14386961817741395,0.33642625346779825,0.26121242065905037
dpmlm_shap,"{'k': 2, 'epsilon': 250}",0.6135269841269841,0.7823018844155718,0.912,0.14542546081542967,0.3281064044237137,0.2631059429875603
dpmlm_shap,"{'k': 3, 'epsilon': 10}",0.36904126984126984,0.6539291232342617,0.796,0.16492995429039,0.4205644900798798,0.32858642701340857
dpmlm_shap,"{'k': 3, 'epsilon': 25}",0.37628229548229547,0.6768081828886218,0.824,0.16172187280654907,0.4018887358307838,0.3431152591839325
dpmlm_shap,"{'k': 3, 'epsilon': 50}",0.42843943833943826,0.7091747232418472,0.86,0.15987568378448486,0.3818738960623741,0.3385946496548705
dpmlm_shap,"{'k': 3, 'epsilon': 100}",0.47417666666666664,0.7258075942718588,0.86,0.16011930537223815,0.3686066419184208,0.30699885464107113
dpmlm_shap,"{'k': 3, 'epsilon': 250}",0.5578936507936506,0.7404073847720906,0.892,0.15778282189369203,0.34828588712215425,0.2912355442929375
dpmlm_shap,"{'k': 5, 'epsilon': 10}",0.2568841563665092,0.5691455126756968,0.756,0.17910969853401185,0.45433049434423445,0.3858005729269473
dpmlm_shap,"{'k': 5, 'epsilon': 25}",0.2823822954822953,0.5880745119010833,0.768,0.17477742958068848,0.4303001769781113,0.3760603812647525
dpmlm_shap,"{'k': 5, 'epsilon': 50}",0.36435054945054923,0.641754379496263,0.832,0.17355693125724792,0.40576975935697557,0.3754281008374811
dpmlm_shap,"{'k': 5, 'epsilon': 100}",0.44288247004203507,0.6830623243432692,0.84,0.17204467344284058,0.38565220752358437,0.32322958744412145
dpmlm_shap,"{'k': 5, 'epsilon': 250}",0.5234017316017314,0.6984241783283182,0.884,0.1705672676563263,0.36840783751010897,0.3214661043920721
dpmlm_shap,"{'k': 7, 'epsilon': 10}",0.2193568725392254,0.5030685094227828,0.712,0.1892738230228424,0.4790937607884407,0.3914765035653453
dpmlm_shap,"{'k': 7, 'epsilon': 25}",0.2601160466983996,0.5265626385253495,0.732,0.18597710585594177,0.45033895814418795,0.3802033002919204
dpmlm_shap,"{'k': 7, 'epsilon': 50}",0.33747822732822724,0.6009914914910882,0.816,0.18175238966941834,0.42043660998344423,0.3926698486224339
dpmlm_shap,"{'k': 7, 'epsilon': 100}",0.43855894911851423,0.6349826111273486,0.84,0.17881109309196472,0.3968841569721699,0.34977631193218706
dpmlm_shap,"{'k': 7, 'epsilon': 250}",0.5249889332889331,0.6750472679266709,0.876,0.17573471903800963,0.37563703262805936,0.32399381903971425
dpmlm_shap,"{'k': 10, 'epsilon': 10}",0.19187132475367757,0.4543652894679412,0.664,0.2003388648033142,0.5037745072841644,0.3790088073851983
dpmlm_shap,"{'k': 10, 'epsilon': 25}",0.23635845773454872,0.45832129612476474,0.724,0.19644375205039977,0.4697326617836952,0.4182979970317561
dpmlm_shap,"{'k': 10, 'epsilon': 50}",0.33814956125147944,0.5442962233822715,0.8,0.19070521926879883,0.434195953309536,0.40402949106699554
dpmlm_shap,"{'k': 10, 'epsilon': 100}",0.4304904788790765,0.6005742610102017,0.828,0.18496932649612427,0.4064357494413853,0.3585285005626756
dpmlm_shap,"{'k': 10, 'epsilon': 250}",0.5285466422466423,0.6550432344476373,0.872,0.18133463621139526,0.38348615980148315,0.32806997127949356
dpmlm_shap,"{'rho': 0.9, 'epsilon': 10}",0.7761219983562937,0.8889176046176046,0.924,0.12119119358062744,0.2984990382194519,0.13949361551474249
dpmlm_shap,"{'rho': 0.9, 'epsilon': 25}",0.7802542064542065,0.881119264069264,0.92,0.12105499505996704,0.3008976192474365,0.13709550632043022
dpmlm_shap,"{'rho': 0.9, 'epsilon': 50}",0.7805845598845598,0.9051491064491065,0.924,0.12069349527359009,0.29706657671928405,0.1290103007428235
dpmlm_shap,"{'rho': 0.9, 'epsilon': 100}",0.7890404403184891,0.9014056645109275,0.928,0.1200477933883667,0.2965890107154846,0.13087836634781325
dpmlm_shap,"{'rho': 0.9, 'epsilon': 250}",0.7890733311133311,0.8908521367521367,0.928,0.11889015436172486,0.29349607157707214,0.1362079696730153
dpmlm_shap,"{'rho': 0.8, 'epsilon': 10}",0.6455427171026318,0.7831973950026583,0.892,0.13824299192428588,0.3454332721233368,0.22515698474909318
dpmlm_shap,"{'rho': 0.8, 'epsilon': 25}",0.6432619295116391,0.7840293885529208,0.9,0.1376065843105316,0.34548487424850466,0.234401561264154
