method,params,split,P,TRIR,U,PU,D,D_text,T,GAIN,relative_gain
baseline,{},,0.795223192108438,0.7213114754098361,0.88,0.9733333333333334,0.0,0.0,0.0,0.0,0.0
dummy,{},,0.02094221293433168,0.0033333333333333335,0.37,0.37,1.0,1.0,,0.0,0.39411953266548694
presidio,{},,0.5460193000750843,0.47540983606557374,1.0,0.96,0.05191251198450725,0.05191251198450725,0.1744666666666667,0.55714613098099,0.4497396728102343
spacy,{},,0.4774445496889519,0.3770491803278688,0.9933333333333333,0.9433333333333334,0.05281846443812052,0.05281846443812052,0.194,0.6326399529515079,0.5283972533295523
dpbart,{'epsilon': 10},,0.022751999216695573,0.0,0.3859060402684564,0.33557046979865773,0.5860432080296337,0.5860432080296337,2.7556333333333334,0.028850937600450443,0.40991875661767974
dpbart,{'epsilon': 25},,0.0468284865667711,0.01639344262295082,0.37373737373737376,0.31986531986531985,0.58497593961954,0.58497593961954,2.576233333333333,-0.026104477378119082,0.36581433665891344
dpbart,{'epsilon': 50},,0.019975197741538105,0.0,0.36666666666666664,0.33666666666666667,0.5420589501829818,0.5420589501829818,2.7768333333333333,-0.005287027464080265,0.39154768379523364
dpbart,{'epsilon': 100},,0.07075913271007327,0.03278688524590164,0.47333333333333333,0.3933333333333333,0.38721105381846427,0.38721105381846427,3.3838333333333335,0.1382747903366046,0.44889857023389745
dpbart,{'epsilon': 250},,0.10501613487719831,0.04918032786885246,0.6333333333333333,0.4266666666666667,0.36544023871421816,0.36544023871421816,3.351466666666667,0.4077566492301737,0.5876382773457559
dpparaphrase,{'epsilon': 10},,0.013872423875849048,0.0,0.37,0.31,0.5443873608857394,0.5443873608857394,18.0841,0.009130779715167077,0.403009853180081
dpparaphrase,{'epsilon': 25},,0.015182227906861951,0.0,0.37,0.31,0.5423926252188782,0.5423926252188782,17.578133333333334,0.007439140547677753,0.40136276335170196
dpparaphrase,{'epsilon': 50},,0.013786681691160145,0.0,0.35333333333333333,0.30666666666666664,0.5381522764607023,0.5381522764607023,18.19663333333333,-0.023438221030814874,0.3841782807749931
dpparaphrase,{'epsilon': 100},,0.013554478428506149,0.0,0.37666666666666665,0.31,0.5339157301032295,0.5339157301032295,16.524099999999997,0.0226133083027633,0.41098542988900527
dpparaphrase,{'epsilon': 250},,0.11789046364001393,0.04918032786885246,0.41,0.3933333333333333,0.46675857568780577,0.46675857568780577,17.227666666666668,-0.04677931105719914,0.31766081946791014
dpprompt,{'epsilon': 10},,0.014887938324005496,0.0,0.36333333333333334,0.32,0.5459759199960779,0.5459759199960779,21.074666666666666,-0.005252673755741682,0.3941570774561681
dpprompt,{'epsilon': 25},,0.029929635040598847,0.01639344262295082,0.32666666666666666,0.33666666666666667,0.5447451403643936,0.5447451403643936,8.9849,-0.0965747629702252,0.33357534786645954
dpprompt,{'epsilon': 50},,0.10575893808320853,0.06557377049180328,0.5217391304347826,0.4949832775919733,0.5389511681015425,0.5389511681015425,0.37126666666666663,0.18798514088319554,0.4598926017259904
dpprompt,{'epsilon': 100},,0.1592083973334774,0.08196721311475409,0.6533333333333333,0.57,0.5113100151810794,0.5113100151810794,0.3040333333333333,0.3769819006187798,0.542218314184957
dpprompt,{'epsilon': 250},,0.1744968703175034,0.08196721311475409,0.6966666666666667,0.5666666666666667,0.51834694145713,0.51834694145713,0.6617999999999999,0.4422038398167004,0.5722353522266965
dpmlm_uniform,{'epsilon': 10},,0.016568671347990414,0.0,0.36666666666666664,0.30666666666666664,0.48219670956333477,0.48219670956333477,48.044066666666666,-0.0008874277255185711,0.3958314200184136
dpmlm_uniform,{'epsilon': 25},,0.09116673250304012,0.0,0.4533333333333333,0.44,0.3008760847647985,0.3008760847647985,80.82516666666666,0.07270226417854915,0.4005085653384915
dpmlm_uniform,{'epsilon': 50},,0.528292389956415,0.4098360655737705,0.6533333333333333,0.7666666666666667,0.18436871985594433,0.18436871985594433,82.02766666666666,-0.0996977577355096,0.07809202072971189
dpmlm_uniform,{'epsilon': 100},,0.5955288197629129,0.47540983606557374,0.8233333333333334,0.8033333333333333,0.1668958317240079,0.1668958317240079,96.47033333333333,0.1467983270860287,0.18672345044985983
dpmlm_uniform,{'epsilon': 250},,0.5809427743614923,0.45901639344262296,0.8966666666666666,0.8066666666666666,0.16185194412867226,0.16185194412867226,78.3078,0.30942735797992826,0.2883988612605204
