method,params,split,P_full,TRIR_full,U_acc,U_mae,PU_acc,PU_mae,D_bertscore,D_cosine,D_pp,T_anon_avg_s
baseline,{},,0.795223192108438,0.7213114754098361,0.88,,0.9733333333333334,,0.0,0.0,,0.0
dummy,{},,0.02094221293433168,0.0033333333333333335,0.37,,0.37,,1.0,1.0,,
presidio,{},,0.5460193000750843,0.47540983606557374,1.0,,0.96,,0.03321937163670858,0.07060565233230591,,0.1744666666666667
spacy,{},,0.4774445496889519,0.3770491803278688,0.9933333333333333,,0.9433333333333334,,0.03353022972742716,0.07210669914881389,,0.194
dpbart,{'epsilon': 10},,0.022751999216695573,0.0,0.40604026845637586,,0.33557046979865773,,0.2933015357327941,0.8787848803264733,,2.7556333333333334
dpbart,{'epsilon': 25},,0.0468284865667711,0.01639344262295082,0.37373737373737376,,0.31986531986531985,,0.28968704368931675,0.8802648355497631,,2.576233333333333
dpbart,{'epsilon': 50},,0.019975197741538105,0.0,0.36666666666666664,,0.33666666666666667,,0.27662717779477436,0.8074907225711893,,2.7768333333333333
dpbart,{'epsilon': 100},,0.07075913271007327,0.03278688524590164,0.47333333333333333,,0.3933333333333333,,0.20646053830782574,0.5679615693291028,,3.3838333333333335
dpbart,{'epsilon': 250},,0.10501613487719831,0.04918032786885246,0.63,,0.4266666666666667,,0.19867261330286662,0.5322078641255696,,3.351466666666667
dpparaphrase,{'epsilon': 10},,0.013872423875849048,0.0,0.37,,0.31,,0.3038401633501053,0.7849345584213734,,18.0841
dpparaphrase,{'epsilon': 25},,0.015182227906861951,0.0,0.36333333333333334,,0.31,,0.30227663815021516,0.7825086122875412,,17.578133333333334
dpparaphrase,{'epsilon': 50},,0.013786681691160145,0.0,0.36333333333333334,,0.30666666666666664,,0.29867685238520303,0.7776277005362014,,18.19663333333333
dpparaphrase,{'epsilon': 100},,0.013554478428506149,0.0,0.37,,0.31,,0.29000401218732197,0.777827448019137,,16.524099999999997
dpparaphrase,{'epsilon': 250},,0.11789046364001393,0.04918032786885246,0.4,,0.3933333333333333,,0.2448097687959671,0.6887073825796445,,17.227666666666668
dpprompt,{'epsilon': 10},,0.014887938324005496,0.0,0.35,,0.32,,0.28880473335584006,0.8031471066363156,,21.074666666666666
dpprompt,{'epsilon': 25},,0.029929635040598847,0.01639344262295082,0.3333333333333333,,0.33666666666666667,,0.27943899035453795,0.8100512903742492,,8.9849
dpprompt,{'epsilon': 50},,0.10575893808320853,0.06557377049180328,0.5284280936454849,,0.4949832775919733,,0.20125206238450016,0.876650273818585,,0.37126666666666663
dpprompt,{'epsilon': 100},,0.1592083973334774,0.08196721311475409,0.6866666666666666,,0.57,,0.1851717835664749,0.8374482467956841,,0.3040333333333333
dpprompt,{'epsilon': 250},,0.1744968703175034,0.08196721311475409,0.69,,0.5666666666666667,,0.1856410111983617,0.8510528717158983,,0.6617999999999999
dpmlm_uniform,{'epsilon': 10},,0.016568671347990414,0.0,0.37,,0.30666666666666664,,0.27856175204118094,0.6858316670854886,0.9980072321707585,48.044066666666666
dpmlm_uniform,{'epsilon': 25},,0.09116673250304012,0.0,0.45,,0.44,,0.22121034880479176,0.3805418207248052,0.9425281864609715,80.82516666666666
dpmlm_uniform,{'epsilon': 50},,0.528292389956415,0.4098360655737705,0.65,,0.7666666666666667,,0.17438461601734162,0.194352823694547,0.8371293724837298,82.02766666666666
dpmlm_uniform,{'epsilon': 100},,0.5955288197629129,0.47540983606557374,0.81,,0.8033333333333333,,0.1621591595808665,0.17163250386714934,0.7900893607401602,96.47033333333333
dpmlm_uniform,{'epsilon': 250},,0.5809427743614923,0.45901639344262296,0.88,,0.8033333333333333,,0.15746629496415457,0.16623759329319,0.7662357542363202,78.3078
dpmlm_shap,{'epsilon': 10},,0.01990527096802665,0.0,0.37333333333333335,,0.32,,0.2714907409747442,0.652714292233189,0.9657532265056479,95.54599999999999
dpmlm_shap,{'epsilon': 25},,0.06631024878695801,0.01639344262295082,0.6033333333333334,,0.4633333333333333,,0.2406960944334666,0.5133247414728006,0.9245959529956193,41.910700000000006
dpmlm_shap,{'epsilon': 50},,0.2004626938332692,0.14754098360655737,0.6333333333333333,,0.6966666666666667,,0.2137554649511973,0.4005945599079132,0.8679132126903681,85.19906666666667
dpmlm_shap,{'epsilon': 100},,0.21122422433891697,0.14754098360655737,0.6733333333333333,,0.7266666666666667,,0.1966056078672409,0.3378572365641594,0.8248541409296112,48.9227
dpmlm_shap,{'epsilon': 250},,0.2807011286091639,0.18032786885245902,0.8,,0.77,,0.18160365223884584,0.2858172531922658,0.7878345602441296,50.75736666666667
