dataset,method,params,split,privacy_exact_mean_reciprocal_rank,privacy_exact_accuracy,privacy_full_mean_reciprocal_rank,privacy_full_accuracy,privacy_more_mean_reciprocal_rank,privacy_more_accuracy,utility_country_acc,utility_country_macro_f1,utility_country_f1,utility_year_acc,utility_year_macro_mae,utility_year_mae,utility_utility_ordinal_raw_mae,utility__utility_ordinal_raw_count,utility_utility_nominal_raw_acc,utility__utility_nominal_raw_count,pseudo_utility_country_acc,pseudo_utility_country_macro_f1,pseudo_utility_country_f1,pseudo_utility_year_acc,pseudo_utility_year_macro_mae,pseudo_utility_year_mae,pseudo_utility_utility_ordinal_raw_mae,pseudo_utility__utility_ordinal_raw_count,pseudo_utility_utility_nominal_raw_acc,pseudo_utility__utility_nominal_raw_count,divergence_bertscore,divergence_cosine,runtime_avg_anon_time_s,utility_country_dummy_strategy,utility_year_dummy_strategy,pseudo_utility_country_dummy_strategy,pseudo_utility_year_dummy_strategy,utility_country_baseline_acc,utility_country_baseline_macro_f1,utility_country_baseline_f1,utility_country_dummy_acc,utility_year_baseline_acc,utility_year_baseline_macro_mae,utility_year_baseline_mae,utility_year_dummy_mae,pseudo_utility_country_baseline_acc,pseudo_utility_country_baseline_macro_f1,pseudo_utility_country_baseline_f1,pseudo_utility_country_dummy_acc,pseudo_utility_year_baseline_acc,pseudo_utility_year_baseline_macro_mae,pseudo_utility_year_baseline_mae,pseudo_utility_year_dummy_mae,divergence_pp,runtime_anon_total_time_s,runtime_anon_texts_processed,runtime_bk_gen_total_time_s,runtime_deid_total_time_s,runtime_risk_total_time_s,runtime_train_total_time_s,runtime_real_anon_total_time_s
tab,baseline,{},,0.895139275971541,0.8503937007874016,0.8420791258398201,0.8095238095238095,0.9056791854629719,0.8818897637795275,0.9881703470031545,0.975727046579007,0.975727046579007,0.26419558359621453,1.6918436061994298,1.641167192429022,1.6665053993142256,2536.0,0.9881703470031545,1268.0,0.9929022082018928,0.9867838612143381,0.9867838612143381,0.2476340694006309,1.7919841745038778,1.75,1.7709920872519387,2536,0.9929022082018928,1268,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tab,baseline,{},test,0.895139275971541,0.8503937007874016,,,0.9056791854629719,0.8818897637795275,,,,,,,,,,,0.9929022082018928,0.9867838612143381,0.9867838612143381,0.2476340694006309,1.7919841745038778,1.75,1.7709920872519387,2536,0.9929022082018928,1268,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tab,dummy,{},,0.042719170020387186,0.007874015748031496,0.006090541064538947,0.0007886435331230284,0.042719170020387186,0.007874015748031496,0.32965299684542587,,,,,2.2996845425867507,2.2996845425867507,1268.0,0.32965299684542587,1268.0,0.32965299684542587,,,,,2.2996845425867507,2.2996845425867507,1268,0.32965299684542587,1268,1.0,1.0,,mode,median,mode,median,,,,,,,,,,,,,,,,,,,,,,,,
tab,dummy,{},test,0.042719170020387186,0.007874015748031496,0.006090541064538947,0.0007886435331230284,0.042719170020387186,0.007874015748031496,,,,,,,,,,,0.32965299684542587,,,,,2.2996845425867507,2.2996845425867507,1268,0.32965299684542587,1268,1.0,1.0,,,,mode,median,,,,,,,,,,,,,,,,,,,,,,,,
tab,presidio,{},,0.7934746160776729,0.7086614173228346,0.6869911877511305,0.5952380952380952,0.8122247225917191,0.7401574803149606,0.9511041009463722,0.8858737795612729,0.8858737795612729,0.25709779179810727,1.8097974517590738,1.7697160883280758,1.7897567700435748,2536.0,0.9511041009463722,1268.0,0.9652996845425867,0.9268545952552216,0.9268545952552216,0.20425867507886436,1.948821499993243,1.9534700315457414,1.9511457657694924,2536,0.9652996845425867,1268,0.061723383020151304,0.08740905820383259,0.10097003154574133,mode,median,mode,median,0.9881703470031545,0.975727046579007,0.975727046579007,0.32965299684542587,0.26419558359621453,1.6918436061994298,1.641167192429022,2.2996845425867507,0.9929022082018928,0.9867838612143381,0.9867838612143381,0.32965299684542587,0.2476340694006309,1.7919841745038778,1.75,2.2996845425867507,0.0,128.03,1268.0,0.0,0.0,0.0,0.0,128.03
tab,presidio,{},test,0.7934746160776729,0.7086614173228346,,,0.8122247225917191,0.7401574803149606,,,,,,,,,,,0.968503937007874,0.9600484261501211,0.9600484261501211,0.15748031496062992,2.5852633323860945,2.283464566929134,2.434363949657614,2536,0.968503937007874,1268,,,,,,mode,median,,,,,,,,,0.9929022082018928,0.9867838612143381,0.9867838612143381,0.32965299684542587,0.2476340694006309,1.7919841745038778,1.75,2.2996845425867507,,,,,,,,
tab,spacy,{},,0.4127083242545698,0.3228346456692913,0.37895097412558837,0.30158730158730157,0.510929294866203,0.4330708661417323,0.5615141955835962,0.29436043171008525,0.29436043171008525,0.25709779179810727,1.9492006014051348,1.91403785488959,1.9316192281473623,2536.0,0.5615141955835962,1268.0,0.36514195583596215,0.3280478305807188,0.3280478305807188,0.20268138801261829,2.1567903050136072,2.1821766561514195,2.169483480582513,2536,0.36514195583596215,1268,0.10353014728624362,0.21621918527861875,0.11156940063091482,mode,median,mode,median,0.9881703470031545,0.975727046579007,0.975727046579007,0.32965299684542587,0.26419558359621453,1.6918436061994298,1.641167192429022,2.2996845425867507,0.9929022082018928,0.9867838612143381,0.9867838612143381,0.32965299684542587,0.2476340694006309,1.7919841745038778,1.75,2.2996845425867507,0.0,141.47,1268.0,0.0,0.0,0.0,0.0,141.47
tab,dpbart,{'epsilon': 10},,0.04136988001652605,0.007874015748031496,0.013517714513448251,0.007936507936507936,0.043318553930395194,0.007874015748031496,0.3415213946117274,0.1115248637843661,0.1115248637843661,0.10697305863708399,2.2159181752881127,2.268621236133122,2.2422697057106173,2536.0,0.3415213946117274,1268.0,0.16164817749603805,0.08403776458355039,0.08403776458355039,0.08795562599049128,2.4853060511653977,2.525356576862124,2.5053313140137607,2536,0.16164817749603805,1268,0.300096651359141,0.8695345364898265,3.30807570977918,mode,median,mode,median,0.9881703470031545,0.975727046579007,0.975727046579007,0.32965299684542587,0.26419558359621453,1.6918436061994298,1.641167192429022,2.2996845425867507,0.9929022082018928,0.9867838612143381,0.9867838612143381,0.32965299684542587,0.2476340694006309,1.7919841745038778,1.75,2.2996845425867507,,4194.64,1268.0,0.0,0.0,0.0,0.0,4194.64
tab,dpbart,{'epsilon': 25},,0.03405682561241427,0.0,0.006322666752770188,0.0,0.05152371628848839,0.015748031496062992,0.33043478260869563,0.09909411592848127,0.09909411592848127,0.10434782608695652,2.245167623440533,2.309090909090909,2.277129266265721,2536.0,0.33043478260869563,1268.0,0.16758893280632411,0.08387938003712804,0.08387938003712804,0.10513833992094862,2.3546279571433466,2.423715415019763,2.3891716860815553,2536,0.16758893280632411,1268,0.2970322013372489,0.86545534033297,2.2704258675078863,mode,median,mode,median,0.9881703470031545,0.975727046579007,0.975727046579007,0.32965299684542587,0.26419558359621453,1.6918436061994298,1.641167192429022,2.2996845425867507,0.9929022082018928,0.9867838612143381,0.9867838612143381,0.32965299684542587,0.2476340694006309,1.7919841745038778,1.75,2.2996845425867507,,2878.9,1268.0,0.0,0.0,0.0,0.0,2878.9
tab,dpbart,{'epsilon': 50},,0.059276908821979515,0.023622047244094488,0.009401021290702275,0.0,0.04486168444632699,0.007874015748031496,0.3257097791798107,0.08775416353782838,0.08775416353782838,0.09700315457413249,2.2591086267730396,2.3162460567823344,2.287677341777687,2536.0,0.3257097791798107,1268.0,0.1632492113564669,0.07501757537546094,0.07501757537546094,0.11750788643533124,2.409952923521518,2.4834384858044163,2.446695704662967,2536,0.1632492113564669,1268,0.28589777037360314,0.7880932345801094,2.453280757097792,mode,median,mode,median,0.9881703470031545,0.975727046579007,0.975727046579007,0.32965299684542587,0.26419558359621453,1.6918436061994298,1.641167192429022,2.2996845425867507,0.9929022082018928,0.9867838612143381,0.9867838612143381,0.32965299684542587,0.2476340694006309,1.7919841745038778,1.75,2.2996845425867507,,3110.76,1268.0,0.0,0.0,0.0,0.0,3110.76
