method,P,TRIR,U,PU,D,D_text,T,GAIN,relative_gain
dpmlm_uniform,0.3473222821424286,0.2688163979502562,0.732018927444795,0.6873817034700316,0.23597271236053402,0.23597271236053402,74.09792744479496,0.3108406859781988,0.3465304305789985
dpmlm_shap,0.4385831040394164,0.32721264008665585,0.8360331230283912,0.8060331230283911,0.14499223483244564,0.14499223483244564,30.76871093606897,0.2818669633813379,0.34819802797179444
petre_shap,0.41316264154034316,0.25196850393700787,0.8627760252365931,0.796372239747634,0.29722645144390103,0.29722645144390103,35.44724581531787,0.2282381186421274,0.40411629520917425
risk_shap,0.46048590122117744,0.36318608322107887,0.8756572029442693,0.8090606379249912,0.35047007960535553,0.35047007960535553,6.824944794952682,0.19521120632665806,0.3634342042410245
dpbart,0.038379605322485556,0.009977919426738324,0.3572618979046524,0.21221966180810653,0.46415618077142506,0.46415618077142506,2.8945078864353313,0.047529556614592613,0.31797340439114324
spacy,0.4341961977487871,0.3524976044661084,0.5615141955835962,0.36514195583596215,0.1598746662824312,0.1598746662824312,0.11156940063091482,0.011363610020517076,0.07537241587336962
presidio,0.7642301754735076,0.6813523309586301,0.9511041009463722,0.9652996845425867,0.07456622061199195,0.07456622061199195,0.10097003154574133,0.00728434601431734,0.09499877590480554
baseline,0.8809658624247776,0.8472690913635796,0.9881703470031545,0.9929022082018928,0.0,0.0,0.0,0.0,0.0
dummy,0.03050962703510444,0.005512225009728673,0.32965299684542587,0.32965299684542587,1.0,1.0,,0.0,0.29896734190884977
dpparaphrase,0.06351874196176381,0.021530642003082946,0.44731861198738165,0.5182965299684542,0.4252680436041124,0.4252680436041124,13.171350157728707,-0.11900844977254943,0.38057233104604965
dpprompt,0.11110100221490744,0.06417947756530433,0.374402970203966,0.3086574154803231,0.51223559557108,0.51223559557108,4.772728706624607,-0.12056168056467076,0.25277232763469965
