method,params,split,P,TRIR,U,PU,D,D_text,T,GAIN,relative_gain
baseline,{},,0.8809658624247776,0.8472690913635796,0.9881703470031545,0.9929022082018928,0.0,0.0,0.0,0.0,0.0
baseline,{},test,0.9004092307172564,0.8661417322834646,,0.9929022082018928,,0.0,0.0,,
dummy,{},,0.03050962703510444,0.005512225009728673,0.32965299684542587,0.32965299684542587,1.0,1.0,,0.0,0.29896734190884977
dummy,{},test,0.042719170020387186,0.007874015748031496,,0.32965299684542587,,1.0,,,
presidio,{},,0.7642301754735076,0.6813523309586301,0.9511041009463722,0.9652996845425867,0.07456622061199195,0.07456622061199195,0.10097003154574133,0.00728434601431734,0.09499877590480554
presidio,{},test,0.802849669334696,0.7244094488188977,,0.968503937007874,,,,,
spacy,{},,0.4341961977487871,0.3524976044661084,0.5615141955835962,0.36514195583596215,0.1598746662824312,0.1598746662824312,0.11156940063091482,0.011363610020517076,0.07537241587336962
dpbart,{'epsilon': 10},,0.032735382820123164,0.007894846477523643,0.3415213946117274,0.16164817749603805,0.5848155939244837,0.5848155939244837,3.30807570977918,0.04679978939284521,0.3084513245267579
dpbart,{'epsilon': 25},,0.030634402884557616,0.005249343832020997,0.33043478260869563,0.16758893280632411,0.5812437708351095,0.5812437708351095,2.2704258675078863,0.0766792217563433,0.29961685135651206
dpbart,{'epsilon': 50},,0.03784653818633626,0.010498687664041995,0.3257097791798107,0.1632492113564669,0.5369955024768562,0.5369955024768562,2.453280757097792,0.05971546322532373,0.2866486607426604
dpbart,{'epsilon': 100},,0.03606048052714484,0.007874015748031496,0.40930599369085174,0.2531545741324921,0.32373271488264344,0.32373271488264344,3.0269716088328074,-0.012411915825870127,0.3732730137978388
dpbart,{'epsilon': 250},,0.054621222194265906,0.01837270341207349,0.37933753943217663,0.31545741324921134,0.2939933217380325,0.2939933217380325,3.413785488958991,0.06686522452432096,0.3218771715319471
dpparaphrase,{'epsilon': 10},,0.05612483822810613,0.023642877973586635,0.5291798107255521,0.5181388012618297,0.4395222797760687,0.4395222797760687,11.587358044164038,-0.11777583934972918,0.47180646368533946
dpparaphrase,{'epsilon': 25},,0.05011437843183179,0.010498687664041995,0.4313880126182965,0.5378548895899053,0.4365059696696111,0.4365059696696111,14.13653785488959,-0.14715971590264512,0.3796665533465291
dpparaphrase,{'epsilon': 50},,0.05736152687381526,0.01837270341207349,0.47397476340694006,0.5165615141955836,0.4285487168224687,0.4285487168224687,14.246971608832807,-0.136606543104826,0.4145367546472303
dpparaphrase,{'epsilon': 100},,0.06463984379559556,0.01837270341207349,0.42981072555205047,0.5473186119873817,0.41629262205671624,0.41629262205671624,14.349637223974764,-0.1762517203092827,0.3615822703864337
dpparaphrase,{'epsilon': 250},,0.08935312247947032,0.03676623755363913,0.3722397476340694,0.471608832807571,0.40547062969569714,0.40547062969569714,11.536246056782334,-0.017248430196264108,0.27526961316471565
dpprompt,{'epsilon': 10},,0.028087251368431914,0.0,0.32991318074191,0.1468034727703236,0.565233308748778,0.565233308748778,14.938036277602524,-0.38268643701526966,0.3019803221872888
dpprompt,{'epsilon': 25},,0.03667937443687458,0.005249343832020997,0.330173775671406,0.16903633491311215,0.5529949867996382,0.5529949867996382,7.255417981072556,-0.3131648676786529,0.2924909652424907
dpprompt,{'epsilon': 50},,0.12811506064638,0.07630296212973378,0.3557312252964427,0.4126482213438735,0.5009205919234432,0.5009205919234432,0.3756309148264984,0.04122434014688353,0.2145640982821165
dpprompt,{'epsilon': 100},,0.16662414415444185,0.10784068658084406,0.4321966693100714,0.40919904837430615,0.47217985565297677,0.47217985565297677,0.5326656151419558,0.05995046601673437,0.24823258592272365
dpprompt,{'epsilon': 250},,0.19599918046840878,0.13150439528392285,0.42399999999999993,0.40559999999999996,0.46984923473056406,0.46984923473056406,0.7618927444794953,-0.008131904293049108,0.2065936665388785
