method,params,split,P,TRIR,U,PU,D,D_text,T,GAIN,relative_gain
baseline,{},,0.8809658624247776,0.8472690913635796,0.9881703470031545,0.9929022082018928,0.0,0.0,0.0,0.0,0.0
dummy,{},,0.03050962703510444,0.005512225009728673,0.32965299684542587,0.32965299684542587,1.0,1.0,,0.0,0.29896734190884977
presidio,{},,0.7642301754735076,0.6813523309586301,0.9511041009463722,0.9652996845425867,0.07456622061199195,0.07456622061199195,0.10097003154574133,0.00728434601431734,0.09499877590480554
risk_shap,{'rho': 0.9},,0.6792801408833663,0.5707828188143149,0.9534700315457413,0.9613564668769716,0.12349817134463448,0.12349817134463448,6.824944794952682,0.023284178051396154,0.1938213230194964
risk_shap,{'rho': 0.8},,0.6270764873643611,0.5181227346581677,0.9779179810725552,0.9511041009463722,0.18916358811283565,0.18916358811283565,6.824944794952682,0.0397239564438836,0.2778192399855869
risk_shap,{'rho': 0.7},,0.5737830551986883,0.45756780402449687,0.943217665615142,0.9274447949526814,0.246927427157153,0.246927427157153,6.824944794952682,0.11693016067566979,0.30319783927989563
risk_shap,{'rho': 0.6},,0.5340319912803735,0.43127942340540765,0.944794952681388,0.9077287066246057,0.2976003003951929,0.2976003003951929,6.824944794952682,0.1580893803621278,0.3499161472692015
risk_shap,{'rho': 0.5},,0.485251851370942,0.3839520059992501,0.9219242902208202,0.8730283911671924,0.3478173476801705,0.3478173476801705,6.824944794952682,0.23594770543135266,0.38214289730340567
risk_shap,{'rho': 0.4},,0.4132354138865593,0.30760738241053204,0.8856466876971609,0.806782334384858,0.4005367351671772,0.4005367351671772,6.824944794952682,0.27647743333162494,0.4271781433383004
risk_shap,{'rho': 0.3},,0.3624223163477433,0.2734241553139191,0.8548895899053628,0.7444794952681388,0.456537703287728,0.456537703287728,6.824944794952682,0.2577594180861564,0.45373169372159944
risk_shap,{'rho': 0.2},,0.29447730940116473,0.21032787568220637,0.7823343848580442,0.6482649842271293,0.5157017786064233,0.5157017786064233,6.824944794952682,0.3174486959691433,0.45743349516725734
risk_shap,{'rho': 0.1},,0.17481454525739862,0.11561054868141483,0.6167192429022083,0.4613564668769716,0.5764476646968849,0.5764476646968849,6.824944794952682,0.33123992858856793,0.42566705908447733
dpmlm_shap,"{'epsilon': 10, 'rho': 0.9}",,0.6409715089289509,0.5417864433612465,0.9708201892744479,0.9526813880126183,0.08851944337883957,0.08851944337883957,9.95779401743903,0.15049667065141867,0.25486399280242655
dpmlm_shap,"{'epsilon': 10, 'rho': 0.8}",,0.5455716586850247,0.444381952255968,0.9471608832807571,0.9305993690851735,0.10969084853817612,0.10969084853817612,13.951456103727251,0.26989916498909466,0.3392115195973311
dpmlm_shap,"{'epsilon': 10, 'rho': 0.7}",,0.4044244945689524,0.2971503562054743,0.8824921135646687,0.8990536277602523,0.13416127900501906,0.13416127900501906,18.232869135123224,0.4111958215194753,0.4339872359858582
dpmlm_shap,"{'epsilon': 10, 'rho': 0.6}",,0.3105877678418864,0.20512019330916967,0.8761829652996845,0.8596214511041009,0.16250473648685762,0.16250473648685762,22.690485382333883,0.5222072011570748,0.5341182946425793
dpmlm_shap,"{'epsilon': 10, 'rho': 0.5}",,0.24910484782646228,0.15523059617547807,0.861198738170347,0.7981072555205048,0.19295619909390102,0.19295619909390102,27.263967286980563,0.5320448977760561,0.5887450419981664
dpmlm_shap,"{'epsilon': 10, 'rho': 0.4}",,0.15832574174284028,0.07630296212973378,0.7192429022082019,0.7160883280757098,0.22993550092357942,0.22993550092357942,31.94230608016519,0.5606596345764941,0.5481347904682775
dpmlm_shap,"{'epsilon': 10, 'rho': 0.3}",,0.11201685738127386,0.047369078865141856,0.5757097791798107,0.6301261829652997,0.2718392405952753,0.2718392405952753,36.69661731400009,0.5087591533439509,0.45544943109448704
dpmlm_shap,"{'epsilon': 10, 'rho': 0.2}",,0.06854124301558678,0.02105986751656043,0.3714511041009464,0.5118296529968455,0.32223589780038275,0.32223589780038275,41.518441365534215,0.4395605096791119,0.29809546265141507
dpmlm_shap,"{'epsilon': 10, 'rho': 0.1}",,0.046272220904393556,0.010519518393534141,0.37933753943217663,0.36829652996845424,0.38300585293736933,0.38300585293736933,46.408225552050475,0.2811811078458537,0.3313542712085367
dpmlm_shap,"{'epsilon': 25, 'rho': 0.9}",,0.6568604672801457,0.5628671416072991,0.9613564668769716,0.9511041009463722,0.08815700128345459,0.08815700128345459,11.848840250531813,0.16870013855374047,0.227251138761406
dpmlm_shap,"{'epsilon': 25, 'rho': 0.8}",,0.5465049198903814,0.44442361371495226,0.942429022082019,0.9274447949526814,0.10811749359222617,0.10811749359222617,18.176178693232323,0.27796663870977084,0.33336365064278584
dpmlm_shap,"{'epsilon': 25, 'rho': 0.7}",,0.4397761049021757,0.3287297421155689,0.8785488958990536,0.8966876971608833,0.1300052656007678,0.1300052656007678,24.915822711653558,0.3632628252659031,0.38986857212240117
dpmlm_shap,"{'epsilon': 25, 'rho': 0.6}",,0.3715077911290798,0.2709036370453693,0.8777602523659306,0.8753943217665615,0.15257750332872574,0.15257750332872574,31.863522884282954,0.40938140050090005,0.46656306321411456
dpmlm_shap,"{'epsilon': 25, 'rho': 0.5}",,0.2979084821773313,0.19728783902012248,0.8564668769716088,0.8225552050473186,0.17580700800856958,0.17580700800856958,38.90265569925099,0.4655377905787425,0.5285586621122743
dpmlm_shap,"{'epsilon': 25, 'rho': 0.4}",,0.21958562787204414,0.13154605674290712,0.8186119873817035,0.7452681388012619,0.20048871850859293,0.20048871850859293,45.971547301912175,0.5088876364601083,0.5791562647144332
dpmlm_shap,"{'epsilon': 25, 'rho': 0.3}",,0.17205266156415433,0.08417697787776528,0.6593059936908517,0.6853312302839116,0.2260220264340237,0.2260220264340237,52.956707434839146,0.49663260037879314,0.4718986905632774
dpmlm_shap,"{'epsilon': 25, 'rho': 0.2}",,0.11967471301935861,0.04997292005166021,0.5891167192429022,0.5977917981072555,0.25284491841349316,0.25284491841349316,59.812478665521915,0.5062151062971932,0.4603243012732627
dpmlm_shap,"{'epsilon': 25, 'rho': 0.1}",,0.09490570546992207,0.042078073574136565,0.527602523659306,0.500788643533123,0.27932364020602374,0.27932364020602374,66.46669558359622,0.456884095675079,0.42618944317819374
dpmlm_shap,"{'epsilon': 50, 'rho': 0.9}",,0.6534053605717681,0.5549514644002833,0.9518927444794952,0.9511041009463722,0.08709090948104858,0.08709090948104858,13.368752169167465,0.11431001041261164,0.22159607659932323
dpmlm_shap,"{'epsilon': 50, 'rho': 0.8}",,0.5637716064758346,0.4628796400449944,0.9550473186119873,0.9250788643533123,0.10366077548368871,0.10366077548368871,21.323667831174422,0.2379569807036567,0.32653328152404637
dpmlm_shap,"{'epsilon': 50, 'rho': 0.7}",,0.5011329384472241,0.3971170270382869,0.9148264984227129,0.9029968454258676,0.12032549379375831,0.12032549379375831,29.555398032841662,0.27704742631638557,0.35693323187726633
dpmlm_shap,"{'epsilon': 50, 'rho': 0.6}",,0.4368592432311888,0.33395825521809774,0.887223974763407,0.8793375394321766,0.13654092231571485,0.13654092231571485,37.826938777265696,0.3050818388427064,0.4019584841871876
dpmlm_shap,"{'epsilon': 50, 'rho': 0.5}",,0.3843686496894419,0.27606965795942173,0.8777602523659306,0.8430599369085173,0.1523606167277703,0.1523606167277703,46.00464472408932,0.38611513687689686,0.451964474200729
dpmlm_shap,"{'epsilon': 50, 'rho': 0.4}",,0.3296636375795511,0.22347206599175104,0.861198738170347,0.807570977917981,0.16784748664178684,0.16784748664178684,54.050656717157146,0.39872470734986315,0.49730132869540783
dpmlm_shap,"{'epsilon': 50, 'rho': 0.3}",,0.3070903629497971,0.20516185476815396,0.8343848580441641,0.7618296529968455,0.18362333241274303,0.18362333241274303,61.94564389005603,0.4147035363181278,0.4957897774245585
dpmlm_shap,"{'epsilon': 50, 'rho': 0.2}",,0.27726938431129605,0.1814981460650752,0.7665615141955836,0.7208201892744479,0.20040609751613547,0.20040609751613547,69.67783845932051,0.40771554966280915,0.4610048246806448
dpmlm_shap,"{'epsilon': 50, 'rho': 0.1}",,0.2001940355238715,0.11309003041286507,0.7121451104100947,0.6719242902208202,0.2187506303144178,0.2187506303144178,77.29978706624605,0.46323777529407684,0.49342658507235804
dpmlm_shap,"{'epsilon': 100, 'rho': 0.9}",,0.6600353512327942,0.5549514644002833,0.9692429022082019,0.9503154574132492,0.08581698967925382,0.08581698967925382,10.90483002976871,0.09833944180083964,0.2316281175574859
dpmlm_shap,"{'epsilon': 100, 'rho': 0.8}",,0.580873741110338,0.4813148356455443,0.944794952681388,0.9353312302839116,0.09903598022103685,0.09903598022103685,15.667813475883715,0.1679228247824859,0.2967452449358956
dpmlm_shap,"{'epsilon': 100, 'rho': 0.7}",,0.5313285244707585,0.4286755822188893,0.8966876971608833,0.9148264984227129,0.11147418651106981,0.11147418651106981,20.47612231108405,0.2565183481496048,0.3043017400544338
