method,params,split,P_exact,P_more,P_full,TRIR_exact,TRIR_more,TRIR_full,U_acc,U_mae,PU_acc,PU_mae,D_bertscore,D_cosine,D_pp,T_anon_avg_s
baseline,{},,0.895139275971541,0.9056791854629719,0.8420791258398201,0.8503937007874016,0.8818897637795275,0.8095238095238095,0.9881703470031545,1.6665053993142256,0.9929022082018928,1.7709920872519387,0.0,0.0,,0.0
presidio,{},,0.7934746160776729,0.8122247225917191,0.6869911877511305,0.7086614173228346,0.7401574803149606,0.5952380952380952,0.9511041009463722,1.7897567700435748,0.9652996845425867,1.9511457657694924,0.061723383020151304,0.08740905820383259,,0.10097003154574133
spacy,{},,0.4127083242545698,0.510929294866203,0.37895097412558837,0.3228346456692913,0.4330708661417323,0.30158730158730157,0.5615141955835962,1.9316192281473623,0.36514195583596215,2.169483480582513,0.10353014728624362,0.21621918527861875,,0.11156940063091482
dpbart,{'epsilon': 10},,0.04136988001652605,0.043318553930395194,0.013517714513448251,0.007874015748031496,0.007874015748031496,0.007936507936507936,0.3415213946117274,2.2422697057106173,0.16164817749603805,2.5053313140137607,0.300096651359141,0.8695345364898265,,3.30807570977918
dpbart,{'epsilon': 25},,0.03405682561241427,0.05152371628848839,0.006322666752770188,0.0,0.015748031496062992,0.0,0.33043478260869563,2.277129266265721,0.16758893280632411,2.3891716860815553,0.2970322013372489,0.86545534033297,,2.2704258675078863
dpbart,{'epsilon': 50},,0.059276908821979515,0.04486168444632699,0.009401021290702275,0.023622047244094488,0.007874015748031496,0.0,0.3257097791798107,2.287677341777687,0.1632492113564669,2.446695704662967,0.28589777037360314,0.7880932345801094,,2.453280757097792
dpbart,{'epsilon': 100},,0.051262765186953274,0.049930682636585316,0.0069879937578959305,0.015748031496062992,0.007874015748031496,0.0,0.40930599369085174,2.083182366930491,0.2531545741324921,3.2173085821080036,0.2146950884008257,0.4327703413644612,,3.0269716088328074
dpbart,{'epsilon': 250},,0.07360505772241607,0.0756211035022668,0.014637505358114838,0.031496062992125984,0.023622047244094488,0.0,0.37933753943217663,2.361527644571824,0.31545741324921134,2.7215968003618998,0.2024301909121805,0.3855564525638845,,3.413785488958991
dpparaphrase,{'epsilon': 10},,0.06385782874864197,0.08454333623550161,0.019973349700174798,0.023622047244094488,0.03937007874015748,0.007936507936507936,0.5291798107255521,2.2726554685294373,0.5181388012618297,3.5039065191596537,0.2749500231881999,0.6040945363639375,,11.587358044164038
dpparaphrase,{'epsilon': 25},,0.061645182791642356,0.07358967960919192,0.015108272894661073,0.015748031496062992,0.015748031496062992,0.0,0.4313880126182965,2.3223684635778357,0.5378548895899053,3.518320193528576,0.2739570086310715,0.5990549307081507,,14.13653785488959
dpparaphrase,{'epsilon': 50},,0.06199650428320769,0.0905205993532008,0.01956747698503728,0.015748031496062992,0.03937007874015748,0.0,0.47397476340694006,2.2479080711784785,0.5165615141955836,3.5458267907672902,0.2684316583894405,0.5886657752554969,,14.246971608832807
dpparaphrase,{'epsilon': 100},,0.07660408691031267,0.09862081061657119,0.01869463385990282,0.023622047244094488,0.031496062992125984,0.0,0.42981072555205047,2.231504659699079,0.5473186119873817,3.6603622291801874,0.25587325808753725,0.5767119860258952,,14.349637223974764
dpparaphrase,{'epsilon': 250},,0.12233380034258846,0.112857893597224,0.032867673498598496,0.05511811023622047,0.047244094488188976,0.007936507936507936,0.3722397476340694,2.233480490015407,0.471608832807571,2.9671046020404823,0.23989395477606296,0.5710473046153314,,11.536246056782334
dpprompt,{'epsilon': 10},,0.038651609216754944,0.03925196590348219,0.006358178985058607,0.0,0.0,0.0,0.32991318074191,2.2352448680092225,0.1468034727703236,3.8905572058219082,0.29346098740832866,0.8370056300892273,,14.938036277602524
dpprompt,{'epsilon': 25},,0.04481143682245943,0.05594485982632253,0.00928182666184177,0.0,0.015748031496062992,0.0,0.330173775671406,2.249638123752965,0.16903633491311215,3.6570854555756425,0.2839882642171959,0.8220017093820806,,7.255417981072556
dpprompt,{'epsilon': 50},,0.1237491421393349,0.16407100405638125,0.09652503574342386,0.06299212598425197,0.09448818897637795,0.07142857142857142,0.3557312252964427,2.133747703838989,0.4126482213438735,2.5586917205917996,0.20917289855451923,0.7926682852923671,,0.3756309148264984
dpprompt,{'epsilon': 100},,0.16477848998068936,0.20957836334845226,0.12551557913418396,0.09448818897637795,0.14173228346456693,0.0873015873015873,0.4321966693100714,2.086723388197414,0.40919904837430615,2.484261843818199,0.189114141662758,0.7552455696431956,,0.5326656151419558
dpprompt,{'epsilon': 250},,0.17303071716676918,0.2518324358108691,0.16313438842758798,0.09448818897637795,0.1968503937007874,0.10317460317460317,0.42399999999999993,2.1368175778990373,0.40559999999999996,2.5418248633337788,0.18709234619140624,0.7526061232697219,,0.7618927444794953
dpmlm_uniform,{'epsilon': 10},,0.04527847070241319,0.04981333280948282,0.015989332377936094,0.007874015748031496,0.015748031496062992,0.007936507936507936,0.32965299684542587,1.8650822510216545,0.1719242902208202,3.1609010881398825,0.28703118555177276,0.6587179829410574,1.0,77.84388012618297
dpmlm_uniform,{'epsilon': 25},,0.1122403271749159,0.20196558881741566,0.10482310918178324,0.031496062992125984,0.11811023622047244,0.06349206349206349,0.5583596214511041,1.7510870332859876,0.5520504731861199,1.9538200043131948,0.2156980445708386,0.2901052060046407,0.9970015824012793,87.89133280757099
dpmlm_uniform,{'epsilon': 50},,0.5058442317972698,0.565228809753404,0.3924987681724817,0.36220472440944884,0.47244094488188976,0.30952380952380953,0.8974763406940063,1.7597390818969814,0.8730283911671924,1.606104384843319,0.1631442539229378,0.16339142564155326,0.8782382050724704,79.51164037854889
