method,params,split,P_exact,P_more,P_full,TRIR_exact,TRIR_more,TRIR_full,U_acc,U_mae,PU_acc,PU_mae,D_bertscore,D_cosine,D_pp,T_anon_avg_s
baseline,{},,0.895139275971541,0.9056791854629719,0.8420791258398201,0.8503937007874016,0.8818897637795275,0.8095238095238095,0.9881703470031545,1.6665053993142256,0.9929022082018928,1.7709920872519387,0.0,0.0,,0.0
dummy,{},,0.042719170020387186,0.042719170020387186,0.006090541064538947,0.007874015748031496,0.007874015748031496,0.0007886435331230284,0.32965299684542587,2.2996845425867507,0.32965299684542587,2.2996845425867507,1.0,1.0,,
presidio,{},,0.7934746160776729,0.8122247225917191,0.6869911877511305,0.7086614173228346,0.7401574803149606,0.5952380952380952,0.9511041009463722,1.7897567700435748,0.9652996845425867,1.9511457657694924,0.061723383020151304,0.08740905820383259,,0.10097003154574133
dpmlm_uniform,{'epsilon': 10},,0.04527847070241319,0.04981333280948282,0.015989332377936094,0.007874015748031496,0.015748031496062992,0.007936507936507936,0.32965299684542587,1.8650822510216545,0.1719242902208202,3.1609010881398825,0.28703118555177276,0.6587179829410574,1.0,77.84388012618297
dpmlm_uniform,{'epsilon': 25},,0.1122403271749159,0.20196558881741566,0.10482310918178324,0.031496062992125984,0.11811023622047244,0.06349206349206349,0.5583596214511041,1.7510870332859876,0.5520504731861199,1.9538200043131948,0.2156980445708386,0.2901052060046407,0.9970015824012793,87.89133280757099
dpmlm_uniform,{'epsilon': 50},,0.5058442317972698,0.565228809753404,0.3924987681724817,0.36220472440944884,0.47244094488188976,0.30952380952380953,0.8974763406940063,1.7597390818969814,0.8730283911671924,1.606104384843319,0.1631442539229378,0.16339142564155326,0.8782382050724704,79.51164037854889
dpmlm_uniform,{'epsilon': 100},,0.5481004936554479,0.5804599420463659,0.41546242914772336,0.41732283464566927,0.49606299212598426,0.31746031746031744,0.9463722397476341,1.7779512675942384,0.9148264984227129,1.617629049403433,0.15098449489107643,0.14493485180549442,0.8099875904700106,42.32592271293375
dpmlm_uniform,{'epsilon': 250},,0.5861181796311429,0.6231032968285753,0.46290792004007175,0.4645669291338583,0.5511811023622047,0.3968253968253968,0.9282334384858044,1.6707240874557618,0.9250788643533123,1.6420605236503842,0.14629313927907672,0.13942653899689203,0.7749397875770461,82.91686119873818
dpmlm_shap,{'epsilon': 10},,0.045145509266417555,0.04252724346331907,0.013583758121000647,0.007874015748031496,0.007874015748031496,0.007936507936507936,0.32965299684542587,2.0344120451577625,0.20110410094637224,2.721727656011533,0.2751567855900394,0.6190431475968391,0.9892405969625748,64.79357255520505
dpmlm_shap,{'epsilon': 25},,0.07978636915968165,0.08425922549253231,0.03331790633052767,0.015748031496062992,0.031496062992125984,0.015873015873015872,0.41719242902208203,1.9859158665817935,0.3785488958990536,1.9329612316781772,0.22883182232876306,0.38265756559954833,0.9223521857264574,48.119921135646685
dpmlm_shap,{'epsilon': 50},,0.1663259311505946,0.2360322599533456,0.1092060756835794,0.07086614173228346,0.14960629921259844,0.06349206349206349,0.6159305993690851,1.9150231290067308,0.580441640378549,1.9184051565010398,0.1959424630888629,0.2826779145712168,0.8282377911310311,35.18143533123028
dpmlm_shap,{'epsilon': 100},,0.230256944273761,0.30161263026535096,0.1590784266847913,0.11023622047244094,0.2047244094488189,0.1111111111111111,0.7815457413249212,1.761365940003153,0.6884858044164038,1.926609597440674,0.17961916637721498,0.23738335910890757,0.7594249822487005,82.54158517350157
dpmlm_shap,{'epsilon': 250},,0.2707320134054596,0.42390080855277223,0.2155791235942934,0.16535433070866143,0.33070866141732286,0.1349206349206349,0.8343848580441641,1.7809838119131491,0.749211356466877,1.9440199583533473,0.16888293868359708,0.21074059529212372,0.7026914347197628,46.87332807570978
