method,params,split,P_exact,P_more,P_full,TRIR_exact,TRIR_more,TRIR_full,U_acc,U_mae,PU_acc,PU_mae,D_bertscore,D_cosine,D_pp,T_anon_avg_s
baseline,{},,0.895139275971541,0.9056791854629719,0.8420791258398201,0.8503937007874016,0.8818897637795275,0.8095238095238095,0.9881703470031545,1.6665053993142256,0.9929022082018928,1.7709920872519387,0.0,0.0,,0.0
dummy,{},,0.042719170020387186,0.042719170020387186,0.006090541064538947,0.007874015748031496,0.007874015748031496,0.0007886435331230284,0.32965299684542587,2.2996845425867507,0.32965299684542587,2.2996845425867507,1.0,1.0,,
presidio,{},,0.7934746160776729,0.8122247225917191,0.6869911877511305,0.7086614173228346,0.7401574803149606,0.5952380952380952,0.9511041009463722,1.7897567700435748,0.9652996845425867,1.9511457657694924,0.061723383020151304,0.08740905820383259,,0.10097003154574133
risk_shap,{'rho': 0.9},,0.7404528420705088,0.7223853448058671,0.575002235773723,0.6299212598425197,0.6141732283464567,0.46825396825396826,0.9534700315457413,1.960049178604472,0.9613564668769716,2.0227155311587732,0.07257567938381941,0.17442066330544956,0.04134183137774727,6.824944794952682
risk_shap,{'rho': 0.8},,0.6778778169058819,0.6937695204685126,0.5095821247186886,0.5669291338582677,0.5826771653543307,0.40476190476190477,0.9779179810725552,2.087609034160296,0.9511041009463722,2.0015076630410618,0.09059762776086007,0.28772954846481125,0.09118913293003578,6.824944794952682
risk_shap,{'rho': 0.7},,0.6313717877986881,0.6426423191991331,0.4473350585982439,0.5196850393700787,0.5196850393700787,0.3333333333333333,0.943217665615142,2.011318992516827,0.9274447949526814,1.9115677346923168,0.11013962995930801,0.38371522435499794,0.1435447970296772,6.824944794952682
risk_shap,{'rho': 0.6},,0.5894738853203039,0.6009700111082819,0.4116520774125346,0.4881889763779528,0.4881889763779528,0.31746031746031744,0.944794952681388,2.000526038854584,0.9077287066246057,1.870151963076065,0.13069025166215203,0.46451034912823375,0.19720374608869415,6.824944794952682
risk_shap,{'rho': 0.5},,0.5201664368423865,0.5593353522428871,0.37625376502755237,0.4094488188976378,0.4566929133858268,0.2857142857142857,0.9219242902208202,1.86356316565443,0.8730283911671924,1.8201739906215078,0.15207246646332065,0.5435622288970203,0.25217454327071376,6.824944794952682
risk_shap,{'rho': 0.4},,0.43771075217210886,0.50351418586867,0.29848130361889924,0.3228346456692913,0.4015748031496063,0.1984126984126984,0.8856466876971609,1.8678029117250394,0.806782334384858,1.8194396239343156,0.17512263089700453,0.6259508394373499,0.3079951766375139,6.824944794952682
risk_shap,{'rho': 0.3},,0.39694348052718664,0.4376717938734569,0.25265167464258625,0.2992125984251969,0.3464566929133858,0.1746031746031746,0.8548895899053628,2.0161704269049414,0.7444794952681388,1.81057412308658,0.19823984872279482,0.7148355578526612,0.3651479900822935,6.824944794952682
