method,params,P_exact,P_more,P_full,U_nominal_acc,U_ordinal_mae,SD_nominal_acc,SD_ordinal_mae,D_bertscore,D_cosine,D_pp,T_anon_avg_s
baseline,{},0.895139275971541,0.9056791854629719,0.8420791258398201,,,,,0.0,0.0,,
dpbart,{'epsilon': 10},0.04136988001652605,0.043318553930395194,0.013517714513448251,0.3415213946117274,2.2422697057106173,0.16164817749603805,2.5053313140137607,0.3000950530856234,0.8695345200831993,,3.31
dpbart,{'epsilon': 25},0.03405682561241427,0.05152371628848839,0.006322666752770188,0.33043478260869563,2.277129266265721,0.16758893280632411,2.3891716860815553,0.2970308086617662,0.8654553295399353,,2.27
dpbart,{'epsilon': 50},0.059276908821979515,0.04486168444632699,0.009401021290702275,0.3257097791798107,2.287677341777687,0.1632492113564669,2.446695704662967,0.2858983846116893,0.7880932162155924,,2.45
dpbart,{'epsilon': 100},0.051262765186953274,0.049930682636585316,0.0069879937578959305,0.40930599369085174,2.083182366930491,0.2531545741324921,3.2173085821080036,0.2146950446844853,0.432770258796986,,3.03
dpbart,{'epsilon': 250},0.07360505772241607,0.0756211035022668,0.014637505358114838,0.37933753943217663,2.361527644571824,0.31545741324921134,2.7215968003618998,0.20243019490776,0.38555637356892747,,3.41
dpparaphrase,{'epsilon': 10},0.06385782874864197,0.08454333623550161,0.019973349700174798,0.5291798107255521,2.2726554685294373,0.5181388012618297,3.5039065191596537,0.2749500231881999,0.604094485496685,,11.59
dpparaphrase,{'epsilon': 25},0.061645182791642356,0.07358967960919192,0.015108272894661073,0.4313880126182965,2.3223684635778357,0.5378548895899053,3.518320193528576,0.2739570086310715,0.5990548808750482,,14.14
dpparaphrase,{'epsilon': 50},0.06199650428320769,0.0905205993532008,0.01956747698503728,0.47397476340694006,2.2479080711784785,0.5165615141955836,3.5458267907672902,0.2684316583894405,0.5886657188414399,,14.25
dpparaphrase,{'epsilon': 100},0.07660408691031267,0.09862081061657119,0.01869463385990282,0.42981072555205047,2.231504659699079,0.5473186119873817,3.6603622291801874,0.25587325808753725,0.5767119322207166,,14.35
dpparaphrase,{'epsilon': 250},0.12233380034258846,0.112857893597224,0.032867673498598496,0.3722397476340694,2.233480490015407,0.471608832807571,2.9671046020404823,0.2398939770102877,0.571047246585415,,11.54
dpprompt,{'epsilon': 10},0.038651609216754944,0.03925196590348219,0.006358178985058607,0.32991318074191,2.2352448680092225,0.1468034727703236,3.8905572058219082,0.29346098740832866,0.8370055590095418,,14.94
dpprompt,{'epsilon': 25},0.04481143682245943,0.05594485982632253,0.00928182666184177,0.330173775671406,2.249638123752965,0.16903633491311215,3.6570854555756425,0.28398862664733454,0.8220016409953436,,7.26
dpprompt,{'epsilon': 50},0.1237491421393349,0.16407100405638125,0.09652503574342386,0.3557312252964427,2.133747703838989,0.4126482213438735,2.5586917205917996,0.20917137163901045,0.7926682802661701,,0.38
dpprompt,{'epsilon': 100},0.16477848998068936,0.20957836334845226,0.12551557913418396,0.4321966693100714,2.086723388197414,0.40919904837430615,2.484261843818199,0.18911288244964394,0.7552455791793277,,0.53
dpprompt,{'epsilon': 250},0.17303071716676918,0.2518324358108691,0.16313438842758798,0.42399999999999993,2.1368175778990373,0.40559999999999996,2.5418248633337788,0.1870934425354004,0.7526061293683947,,0.76
