method,params,P_exact,P_more,P_full,U_nominal_raw,U_ordinal_raw,SD_nominal_raw,SD_ordinal_raw,D_bertscore,D_cosine,D_pp,divergence__count,privacy__exact_count,privacy__full_count,privacy__more_count,privacy_exact_accuracy,privacy_full_accuracy,privacy_more_accuracy,supervised_divergence__country_count,supervised_divergence__utility_nominal_raw_count,supervised_divergence__utility_nominal_score_count,supervised_divergence__utility_ordinal_raw_count,supervised_divergence__utility_ordinal_score_count,supervised_divergence__utility_score_count,supervised_divergence__year_count,supervised_divergence_country_acc,supervised_divergence_country_baseline_acc,supervised_divergence_country_dummy_acc,supervised_divergence_country_dummy_strategy,supervised_divergence_country_f1,supervised_divergence_country_macro_f1,supervised_divergence_country_racc,supervised_divergence_country_score,supervised_divergence_utility_dummy_strategy,supervised_divergence_utility_nominal_baseline_acc,supervised_divergence_utility_nominal_dummy_acc,supervised_divergence_utility_nominal_weighted_score,supervised_divergence_utility_ordinal_baseline_mae,supervised_divergence_utility_ordinal_dummy_mae,supervised_divergence_utility_ordinal_weighted_score,supervised_divergence_utility_total_score,supervised_divergence_utility_weighted_score,supervised_divergence_year_acc,supervised_divergence_year_baseline_acc,supervised_divergence_year_baseline_mae,supervised_divergence_year_dummy_mae,supervised_divergence_year_dummy_strategy,supervised_divergence_year_macro_mae,supervised_divergence_year_mae,supervised_divergence_year_rmae,supervised_divergence_year_score,utility__country_count,utility__utility_nominal_raw_count,utility__utility_nominal_score_count,utility__utility_ordinal_raw_count,utility__utility_ordinal_score_count,utility__utility_score_count,utility__year_count,utility_country_acc,utility_country_baseline_acc,utility_country_dummy_acc,utility_country_dummy_strategy,utility_country_f1,utility_country_macro_f1,utility_country_racc,utility_country_score,utility_utility_dummy_strategy,utility_utility_nominal_baseline_acc,utility_utility_nominal_dummy_acc,utility_utility_nominal_weighted_score,utility_utility_ordinal_baseline_mae,utility_utility_ordinal_dummy_mae,utility_utility_ordinal_weighted_score,utility_utility_total_score,utility_utility_weighted_score,utility_year_acc,utility_year_baseline_acc,utility_year_baseline_mae,utility_year_dummy_mae,utility_year_dummy_strategy,utility_year_macro_mae,utility_year_mae,utility_year_rmae,utility_year_score
baseline,{},0.895139275971541,0.9056791854629719,0.8420791258398201,0.9881703470031545,1.641167192429022,0.9929022082018928,1.75,0.0,0.0,,,127,126,127,0.8503937007874016,0.8095238095238095,0.8818897637795275,1268,1268,,1268,,,1268,0.9929022082018928,0.9929022082018928,,,0.9867838612143381,0.9867838612143381,,,,0.9929022082018928,,,1.75,,,,,0.2476340694006309,0.2476340694006309,1.75,,,1.7919841745038778,1.75,,,1268,1268,,1268,,,1268,0.9881703470031545,0.9881703470031545,,,0.975727046579007,0.975727046579007,,,,0.9881703470031545,,,1.641167192429022,,,,,0.26419558359621453,0.26419558359621453,1.641167192429022,,,1.6918436061994298,1.641167192429022,,
presidio,{},0.7934746160776729,0.8122247225917191,0.6869911877511305,0.9511041009463722,1.7697160883280758,0.9652996845425867,1.9534700315457414,0.061723383020151304,0.08740904424280774,1.0,1268.0,127,126,127,0.7086614173228346,0.5952380952380952,0.7401574803149606,1268,1268,1268.0,1268,1268.0,2536.0,1268,0.9652996845425867,0.9929022082018928,0.32965299684542587,mode,0.9268545952552216,0.9268545952552216,0.9583828775267538,0.9583828775267538,"median,mode",0.9929022082018928,0.32965299684542587,0.9583828775267538,1.75,2.2996845425867507,0.37015781922525126,0.6642703483760025,0.6642703483760025,0.20425867507886436,0.2476340694006309,1.75,2.2996845425867507,median,1.948821499993243,1.9534700315457414,0.37015781922525126,0.37015781922525126,1268,1268,1268.0,1268,1268.0,2536.0,1268,0.9511041009463722,0.9881703470031545,0.32965299684542587,mode,0.8858737795612729,0.8858737795612729,0.9437125748502994,0.9437125748502994,"median,mode",0.9881703470031545,0.32965299684542587,0.9437125748502992,1.641167192429022,2.2996845425867507,0.19520958083832352,0.5694610778443114,0.5694610778443114,0.25709779179810727,0.26419558359621453,1.641167192429022,2.2996845425867507,median,1.8097974517590738,1.7697160883280758,0.19520958083832352,0.19520958083832352
spacy,{},0.4127083242545698,0.510929294866203,0.37895097412558837,0.5615141955835962,1.91403785488959,0.36514195583596215,2.1821766561514195,0.10353015452529353,0.21621913305404433,1.0,1268.0,127,126,127,0.3228346456692913,0.30158730158730157,0.4330708661417323,1268,1268,1268.0,1268,1268.0,2536.0,1268,0.36514195583596215,0.9929022082018928,0.32965299684542587,mode,0.3280478305807188,0.3280478305807188,0.0535077288941736,0.0535077288941736,"median,mode",0.9929022082018928,0.32965299684542587,0.0535077288941736,1.75,2.2996845425867507,0.7862266857962699,0.4198672073452217,0.4198672073452217,0.20268138801261829,0.2476340694006309,1.75,2.2996845425867507,median,2.1567903050136072,2.1821766561514195,0.7862266857962699,0.7862266857962699,1268,1268,1268.0,1268,1268.0,2536.0,1268,0.5615141955835962,0.9881703470031545,0.32965299684542587,mode,0.29436043171008525,0.29436043171008525,0.3520958083832335,0.3520958083832335,"median,mode",0.9881703470031545,0.32965299684542587,0.3520958083832335,1.641167192429022,2.2996845425867507,0.4143712574850301,0.38323353293413176,0.38323353293413176,0.25709779179810727,0.26419558359621453,1.641167192429022,2.2996845425867507,median,1.9492006014051348,1.91403785488959,0.4143712574850301,0.4143712574850301
manual,{},0.3083132253643625,0.35370033463963163,0.22033765286493362,0.5283911671924291,1.9069400630914826,0.3659305993690852,3.0157728706624605,0.08263706512255624,0.1892420293686894,1.0,1268.0,127,126,127,0.2125984251968504,0.15873015873015872,0.2677165354330709,1268,1268,1268.0,1268,1268.0,2536.0,1268,0.3659305993690852,0.9929022082018928,0.32965299684542587,mode,0.31729487796615496,0.31729487796615496,0.05469678953626634,0.05469678953626634,"median,mode",0.9929022082018928,0.32965299684542587,0.05469678953626634,1.75,2.2996845425867507,2.302725968436155,1.1787113789862107,1.1787113789862107,0.12066246056782334,0.2476340694006309,1.75,2.2996845425867507,median,2.9862447766675877,3.0157728706624605,2.302725968436155,2.302725968436155,1268,1268,1268.0,1268,1268.0,2536.0,1268,0.5283911671924291,0.9881703470031545,0.32965299684542587,mode,0.2803757452066932,0.2803757452066932,0.30179640718562883,0.30179640718562883,"median,mode",0.9881703470031545,0.32965299684542587,0.30179640718562883,1.641167192429022,2.2996845425867507,0.4035928143712574,0.3526946107784431,0.3526946107784431,0.24053627760252366,0.26419558359621453,1.641167192429022,2.2996845425867507,median,1.9561671405161347,1.9069400630914826,0.4035928143712574,0.4035928143712574
baroud,{'lambda': 0.9},0.8661026830202371,0.8910784776304875,0.8145591611971809,0.8738170347003155,1.6924290220820188,0.9116719242902208,2.256309148264984,0.0709840180557985,0.11976885283218949,0.8584017821956487,1268.0,127,126,127,0.8110236220472441,0.7698412698412699,0.8503937007874016,1268,1268,1268.0,1268,1268.0,2536.0,1268,0.9116719242902208,0.9929022082018928,0.32965299684542587,mode,0.8971303442321448,0.8971303442321448,0.8775267538644469,0.8775267538644469,"median,mode",0.9929022082018928,0.32965299684542587,0.877526753864447,1.75,2.2996845425867507,0.921090387374462,0.8993085706194545,0.8993085706194545,0.18454258675078863,0.2476340694006309,1.75,2.2996845425867507,median,2.2395894023655796,2.256309148264984,0.921090387374462,0.921090387374462,1268,1268,1268.0,1268,1268.0,2536.0,1268,0.8738170347003155,0.9881703470031545,0.32965299684542587,mode,0.6445145008644974,0.6445145008644974,0.8263473053892216,0.8263473053892216,"median,mode",0.9881703470031545,0.32965299684542587,0.8263473053892216,1.641167192429022,2.2996845425867507,0.07784431137724537,0.4520958083832335,0.4520958083832335,0.277602523659306,0.26419558359621453,1.641167192429022,2.2996845425867507,median,1.7188425604685773,1.6924290220820188,0.07784431137724537,0.07784431137724537
baroud,{'lambda': 0.5},0.8452105848026924,0.8890544744082952,0.8238782762339687,0.7176656151419558,1.7200315457413249,0.8848580441640379,2.614353312302839,0.07992687976510743,0.15896782208504362,0.9843963672377375,1268.0,127,126,127,0.7795275590551181,0.7857142857142857,0.8503937007874016,1268,1268,1268.0,1268,1268.0,2536.0,1268,0.8848580441640379,0.9929022082018928,0.32965299684542587,mode,0.8710257563036995,0.8710257563036995,0.8370986920332937,0.8370986920332937,"median,mode",0.9929022082018928,0.32965299684542587,0.8370986920332937,1.75,2.2996845425867507,1.5724533715925397,1.2047760318129168,1.2047760318129168,0.14905362776025236,0.2476340694006309,1.75,2.2996845425867507,median,2.5846662814727575,2.614353312302839,1.5724533715925397,1.5724533715925397,1268,1268,1268.0,1268,1268.0,2536.0,1268,0.7176656151419558,0.9881703470031545,0.32965299684542587,mode,0.44071273539239875,0.44071273539239875,0.5892215568862276,0.5892215568862276,"median,mode",0.9881703470031545,0.32965299684542587,0.5892215568862276,1.641167192429022,2.2996845425867507,0.1197604790419161,0.35449101796407184,0.35449101796407184,0.25946372239747634,0.26419558359621453,1.641167192429022,2.2996845425867507,median,1.754246393173468,1.7200315457413249,0.11976047904191611,0.11976047904191611
petre_shap,{'k': 2},0.6555877965539134,0.6871778075002234,0.324948057892898,0.9029968454258676,2.0662460567823344,0.8588328075709779,1.8951104100946372,0.11398589578148695,0.3330644553968659,0.39487251250401867,1268.0,127,126,127,0.5590551181102362,0.0,0.5354330708661418,1268,1268,1268.0,1268,1268.0,2536.0,1268,0.8588328075709779,0.9929022082018928,0.32965299684542587,mode,0.7948174663239785,0.7948174663239785,0.797859690844233,0.797859690844233,"median,mode",0.9929022082018928,0.32965299684542587,0.797859690844233,1.75,2.2996845425867507,0.26398852223816355,0.5309241065411983,0.5309241065411983,0.21845425867507887,0.2476340694006309,1.75,2.2996845425867507,median,1.8884525754163581,1.8951104100946372,0.26398852223816355,0.26398852223816355,1268,1268,1268.0,1268,1268.0,2536.0,1268,0.9029968454258676,0.9881703470031545,0.32965299684542587,mode,0.7764740569024958,0.7764740569024958,0.8706586826347307,0.8706586826347307,"median,mode",0.9881703470031545,0.32965299684542587,0.8706586826347307,1.641167192429022,2.2996845425867507,0.6455089820359283,0.7580838323353295,0.7580838323353295,0.2302839116719243,0.26419558359621453,1.641167192429022,2.2996845425867507,median,2.07213650472161,2.0662460567823344,0.6455089820359283,0.6455089820359283
petre_shap,{'k': 3},0.6062169485960152,0.6258222975911361,0.2155042495204464,0.8722397476340694,2.067034700315457,0.8280757097791798,1.888801261829653,0.12792607756443203,0.39215348657181676,0.4431404979717001,1268.0,127,126,127,0.49606299212598426,0.0,0.44881889763779526,1268,1268,1268.0,1268,1268.0,2536.0,1268,0.8280757097791798,0.9929022082018928,0.32965299684542587,mode,0.7508768700370414,0.7508768700370414,0.7514863258026158,0.7514863258026158,"median,mode",0.9929022082018928,0.32965299684542587,0.7514863258026158,1.75,2.2996845425867507,0.25251076040172177,0.5019985431021687,0.5019985431021687,0.22397476340694006,0.2476340694006309,1.75,2.2996845425867507,median,1.878392830524964,1.888801261829653,0.25251076040172177,0.25251076040172177,1268,1268,1268.0,1268,1268.0,2536.0,1268,0.8722397476340694,0.9881703470031545,0.32965299684542587,mode,0.6678182943959232,0.6678182943959232,0.8239520958083832,0.8239520958083832,"median,mode",0.9881703470031545,0.32965299684542587,0.8239520958083832,1.641167192429022,2.2996845425867507,0.6467065868263471,0.7353293413173653,0.7353293413173653,0.24053627760252366,0.26419558359621453,1.641167192429022,2.2996845425867507,median,2.0788613623613554,2.067034700315457,0.6467065868263471,0.6467065868263471
petre_shap,{'k': 5},0.5149584669296912,0.5384227417663834,0.1274774015792363,0.8564668769716088,2.093059936908517,0.7862776025236593,1.8966876971608833,0.14613603896899177,0.47219771530853044,0.47264525962851384,1268.0,127,126,127,0.3858267716535433,0.0,0.3228346456692913,1268,1268,1268.0,1268,1268.0,2536.0,1268,0.7862776025236593,0.9929022082018928,0.32965299684542587,mode,0.6961191055393137,0.6961191055393137,0.6884661117717003,0.6884661117717003,"median,mode",0.9929022082018928,0.32965299684542587,0.6884661117717003,1.75,2.2996845425867507,0.266857962697274,0.4776620372344872,0.4776620372344872,0.21608832807570977,0.2476340694006309,1.75,2.2996845425867507,median,1.8849713484461676,1.8966876971608833,0.266857962697274,0.266857962697274,1268,1268,1268.0,1268,1268.0,2536.0,1268,0.8564668769716088,0.9881703470031545,0.32965299684542587,mode,0.64693215501677,0.64693215501677,0.8000000000000002,0.8000000000000002,"median,mode",0.9881703470031545,0.32965299684542587,0.8000000000000002,1.641167192429022,2.2996845425867507,0.6862275449101796,0.7431137724550898,0.7431137724550898,0.2334384858044164,0.26419558359621453,1.641167192429022,2.2996845425867507,median,2.0966947005580447,2.093059936908517,0.6862275449101796,0.6862275449101796
petre_shap,{'k': 7},0.46148876110151726,0.48732209809684224,0.08948883516113071,0.8493690851735016,2.048895899053628,0.7673501577287066,1.8974763406940063,0.15596335806681155,0.5142674312035536,0.4891712861764025,1268.0,127,126,127,0.33858267716535434,0.0,0.2677165354330709,1268,1268,1268.0,1268,1268.0,2536.0,1268,0.7673501577287066,0.9929022082018928,0.32965299684542587,mode,0.6698424044215425,0.6698424044215425,0.6599286563614744,0.6599286563614744,"median,mode",0.9929022082018928,0.32965299684542587,0.6599286563614744,1.75,2.2996845425867507,0.2682926829268293,0.4641106696441518,0.4641106696441518,0.20347003154574134,0.2476340694006309,1.75,2.2996845425867507,median,1.884016813112221,1.8974763406940063,0.2682926829268293,0.2682926829268293,1268,1268,1268.0,1268,1268.0,2536.0,1268,0.8493690851735016,0.9881703470031545,0.32965299684542587,mode,0.6319484437212555,0.6319484437212555,0.7892215568862279,0.7892215568862279,"median,mode",0.9881703470031545,0.32965299684542587,0.7892215568862279,1.641167192429022,2.2996845425867507,0.6191616766467068,0.7041916167664674,0.7041916167664674,0.22634069400630916,0.26419558359621453,1.641167192429022,2.2996845425867507,median,2.0511034498681915,2.048895899053628,0.6191616766467068,0.6191616766467068
