index,selection_metric,batch_size,learning_rate,strict_recall,exact_recall,partial_recall
0,partial_recall,8,1e-5,0.6767400051365465,0.6855577433438917,0.7439003509973461
1,strict_recall,8,1e-5,0.6819621607739064,0.6918072082869617,0.7495505521787518
2,exact_recall,8,1e-5,0.676483177810119,0.6859857888879377,0.7437291327797277
3,partial_recall,16,1e-5,0.6640698570327883,0.6775104871158292,0.7356390719972605
4,strict_recall,16,1e-5,0.6400993065662186,0.654738464172588,0.7265645064634877
5,exact_recall,16,1e-5,0.6480609536854721,0.6619296293125588,0.7295180207174043
6,partial_recall,8,2e-5,0.6906942898724424,0.7000256827326428,0.7566133036555089
7,strict_recall,8,2e-5,0.6870130981936478,0.6973718003595583,0.7546870987073024
8,exact_recall,8,2e-5,0.6856433524527009,0.6972861912507491,0.7547727078161116
9,partial_recall,16,2e-5,0.6774248780070199,0.6878691892817396,0.7484376337642326
10,strict_recall,16,2e-5,0.6758839140484547,0.6876123619553121,0.7480951973289958
11,exact_recall,16,2e-5,0.6824758154267614,0.6919784265045801,0.7490368975258967
12,partial_recall,8,3e-5,0.6922352538310076,0.7036212653026283,0.7581542676140741
13,strict_recall,8,3e-5,0.6859857888879377,0.6964301001626573,0.7556287989042034
14,exact_recall,8,3e-5,0.6875267528465029,0.6996832462974061,0.7575550038524099
15,partial_recall,16,3e-5,0.6856433524527009,0.6951459635305196,0.7530605256399281
16,strict_recall,16,3e-5,0.6805068059241504,0.6918928173957709,0.7531889393031419
17,exact_recall,16,3e-5,0.6785377964215392,0.6877835801729304,0.7495077476243472
