log_file,dataset,method,total_time_s,texts_processed,avg_time_s,epsilon,k,lambda,rho
2604660_21.out,db_bio,dpmlm_uniform,24437.17,2419,10.10,250,,,
2605138_0.out,db_bio,spacy,79.07,2419,0.03,,,,
2605145_1.out,db_bio,presidio,107.88,2419,0.04,,,,
2605146_2.out,db_bio,dpprompt,10116.52,2419,4.18,10,,,
2605147_3.out,db_bio,dpprompt,9426.05,2419,3.90,25,,,
2605153_4.out,db_bio,dpprompt,1404.19,2419,0.58,50,,,
2605154_5.out,db_bio,dpprompt,1552.65,2419,0.64,100,,,
2605158_6.out,db_bio,dpprompt,1469.03,2419,0.61,250,,,
2605161_7.out,db_bio,dpparaphrase,7356.57,2419,3.04,10,,,
2605171_8.out,db_bio,dpparaphrase,7127.89,2419,2.95,25,,,
2605172_9.out,db_bio,dpparaphrase,6613.28,2419,2.73,50,,,
2605173_10.out,db_bio,dpparaphrase,7378.24,2419,3.05,100,,,
2605174_11.out,db_bio,dpparaphrase,7520.33,2419,3.11,250,,,
2605175_12.out,db_bio,dpbart,4049.84,2419,1.67,10,,,
2605176_13.out,db_bio,dpbart,3916.51,2419,1.62,25,,,
2605180_14.out,db_bio,dpbart,3655.65,2419,1.51,50,,,
2605203_15.out,db_bio,dpbart,4290.37,2419,1.77,100,,,
2605209_16.out,db_bio,dpbart,4525.09,2419,1.87,250,,,
2605251_17.out,db_bio,dpmlm_uniform,22258.94,2419,9.20,10,,,
2605254_18.out,db_bio,dpmlm_uniform,29764.90,2419,12.30,25,,,
2605260_19.out,db_bio,dpmlm_uniform,10040.97,2419,4.15,50,,,
2605264_20.out,db_bio,dpmlm_uniform,12540.84,2419,5.18,100,,,
2604658_23.out,tab,dpmlm_uniform,105138.58,1268,82.92,250,,,
2604680_0.out,tab,baroud,6.32,1268,0.00,,,095,
2604680_0.out,tab,baroud,6.32,1268,0.00,,,090,
2604680_0.out,tab,baroud,6.32,1268,0.00,,,080,
2604680_0.out,tab,baroud,6.32,1268,0.00,,,070,
2604680_0.out,tab,baroud,6.32,1268,0.00,,,050,
2604681_1.out,tab,spacy,141.47,1268,0.11,,,,
2604682_2.out,tab,presidio,128.03,1268,0.10,,,,
2604683_3.out,tab,manual,0.64,1268,0.00,,,,
2604686_4.out,tab,dpprompt,18941.43,1268,14.94,10,,,
2604687_5.out,tab,dpprompt,9199.87,1268,7.26,25,,,
2604689_6.out,tab,dpprompt,476.30,1268,0.38,50,,,
2604690_7.out,tab,dpprompt,675.42,1268,0.53,100,,,
2604695_8.out,tab,dpprompt,966.08,1268,0.76,250,,,
2604696_9.out,tab,dpparaphrase,14692.77,1268,11.59,10,,,
2604711_10.out,tab,dpparaphrase,17925.13,1268,14.14,25,,,
2604713_11.out,tab,dpparaphrase,18065.16,1268,14.25,50,,,
2604714_12.out,tab,dpparaphrase,18195.34,1268,14.35,100,,,
2604717_13.out,tab,dpparaphrase,14627.96,1268,11.54,250,,,
2604747_14.out,tab,dpbart,4194.64,1268,3.31,10,,,
2604775_15.out,tab,dpbart,2878.90,1268,2.27,25,,,
2604891_16.out,tab,dpbart,3110.76,1268,2.45,50,,,
2604892_17.out,tab,dpbart,3838.20,1268,3.03,100,,,
2604933_18.out,tab,dpbart,4328.68,1268,3.41,250,,,
2604934_19.out,tab,dpmlm_uniform,98706.04,1268,77.84,10,,,
2605039_20.out,tab,dpmlm_uniform,111446.21,1268,87.89,25,,,
2605043_21.out,tab,dpmlm_uniform,100820.76,1268,79.51,50,,,
2605056_22.out,tab,dpmlm_uniform,53669.27,1268,42.33,100,,,
2605751_21.out,db_bio,dpmlm_shap_risk,16615.91,2419,6.87,250,,,090
2605751_21.out,db_bio,dpmlm_shap_risk,16615.91,2419,6.87,250,,,080
2605751_21.out,db_bio,dpmlm_shap_risk,16615.91,2419,6.87,250,,,070
2605751_21.out,db_bio,dpmlm_shap_risk,16615.91,2419,6.87,250,,,060
2605751_21.out,db_bio,dpmlm_shap_risk,16615.91,2419,6.87,250,,,050
2605751_21.out,db_bio,dpmlm_shap_risk,16615.91,2419,6.87,250,,,040
2605751_21.out,db_bio,dpmlm_shap_risk,16615.91,2419,6.87,250,,,030
2605751_21.out,db_bio,dpmlm_shap_risk,16615.91,2419,6.87,250,,,020
2605751_21.out,db_bio,dpmlm_shap_risk,16615.91,2419,6.87,250,,,010
2605835_0.out,db_bio,risk_shap,26.49,2419,0.01,,,,090
2605835_0.out,db_bio,risk_shap,26.49,2419,0.01,,,,080
2605835_0.out,db_bio,risk_shap,26.49,2419,0.01,,,,070
2605835_0.out,db_bio,risk_shap,26.49,2419,0.01,,,,060
2605835_0.out,db_bio,risk_shap,26.49,2419,0.01,,,,050
2605835_0.out,db_bio,risk_shap,26.49,2419,0.01,,,,040
