index,selection_metric,batch_size,learning_rate,finetuning_epochs,use_pretraining,accuracy
0,accuracy,16,1e-4,15,false,0.8016
1,accuracy,16,1e-4,15,true,0.8333
2,accuracy,32,1e-4,15,false,0.8016
3,accuracy,32,1e-4,15,true,0.7540
4,accuracy,16,2e-5,15,false,0.5635
5,accuracy,16,2e-5,15,true,0.4683
6,accuracy,32,2e-5,15,false,0.4048
7,accuracy,32,2e-5,15,true,0.4841
8,accuracy,16,5e-5,15,false,0.7778
9,accuracy,16,5e-5,15,true,0.7937
10,accuracy,32,5e-5,15,false,0.6349
11,accuracy,32,5e-5,15,true,0.6667
